k,n,x,y,K,Kprime,Kprime_over_K,S,sqrt_sumR2_all,sqrt_sumR2_sf,c_all,c_sf,SM,sqrt_Diag,sqrt_sumDelta2,c_M,c_M_all,tri_absR,tri_absMDelta
6,250,63000,715,87,20,0.229885,63.005316224,83.094429175,73.358293445,0.758237548,0.858871073,27.865956978,21.563960620,16.066139794,1.292246701,1.734452540,350.056745,69.668105
6,250,63000,715,87,21,0.241379,51.292196475,83.915918241,74.287525140,0.611233215,0.690455044,34.188223821,22.471658943,16.374175167,1.521392965,2.087935635,361.769865,75.990372
6,250,63000,715,87,22,0.252874,42.740210148,84.350564932,74.778157650,0.506697379,0.571560085,32.810016150,22.513882651,16.432074391,1.457323761,1.996705673,370.321851,77.368580
6,250,63000,715,87,23,0.264368,52.670404146,84.933071045,75.434618143,0.620140111,0.698225900,25.691893426,23.612339637,16.813089739,1.088070637,1.528088759,380.252045,84.486703
6,250,63000,715,87,24,0.275862,52.670404146,85.997596288,75.434618143,0.612463678,0.698225900,26.434810993,23.624023994,16.817192637,1.118980026,1.571892025,393.741301,85.229620
6,250,63000,715,87,25,0.287356,52.670404146,86.992316640,75.434618143,0.605460415,0.698225900,35.266811280,25.220997972,17.387323700,1.398311491,2.028305902,406.859097,94.061620
6,250,63000,715,87,26,0.298851,43.968607713,87.426451464,75.934859423,0.502921107,0.579030607,31.843952298,25.452204272,17.721032393,1.251127484,1.796958077,415.560894,97.484479
6,250,63000,715,87,27,0.310345,43.968607713,88.263195526,75.934859423,0.498153363,0.579030607,31.571772745,25.453659541,17.723122489,1.240362813,1.781388847,427.685549,97.756659
6,250,63000,715,87,28,0.321839,43.968607713,89.129530469,75.934859423,0.493311336,0.579030607,33.700150122,25.542489587,17.850463888,1.319376093,1.887914529,440.082384,99.885036
6,250,63000,715,87,29,0.333333,54.237065304,89.719086169,76.626001441,0.604520929,0.707815419,34.482847419,25.554478851,17.854753283,1.349385664,1.931297894,450.350842,100.667734
6,250,63000,715,87,30,0.344828,64.114174246,90.261130638,77.259959733,0.710318758,0.829849957,34.207810561,25.555958887,17.854988654,1.338545375,1.915868513,460.227951,100.942770
6,250,63000,715,87,31,0.356322,74.082962141,90.809957803,77.900437162,0.815802187,0.950995461,23.888260570,27.560844447,18.040411285,0.866746323,1.324152770,470.196739,111.262320
6,250,63000,715,87,32,0.367816,74.082962141,91.672884160,77.900437162,0.808122956,0.950995461,35.065515195,29.741068703,18.255536917,1.179026737,1.920815331,482.745414,122.439575
6,250,63000,715,87,33,0.379310,64.328600405,92.190375111,78.508761822,0.697780005,0.819381161,30.746832820,30.052989619,18.312208043,1.023087327,1.679034705,492.499776,126.758257
6,250,63000,715,87,34,0.390805,53.134677877,92.867481740,79.302771606,0.572155903,0.670022961,34.595329763,30.298401175,18.413030592,1.141820308,1.878850393,503.693698,130.606754
6,250,63000,715,87,35,0.402299,43.865003820,93.328966682,79.842698111,0.470004173,0.549392804,35.278469211,30.306101584,18.425698768,1.164071503,1.914633993,512.963372,131.289894
6,250,63000,715,87,36,0.413793,43.865003820,93.723127340,79.842698111,0.468027530,0.549392804,35.718378620,30.309294177,18.430949389,1.178462897,1.937956524,521.549907,131.729803
6,250,63000,715,87,37,0.425287,52.011629019,94.076522579,80.257236083,0.552865131,0.648061553,35.837610143,30.309528695,18.431045804,1.182387575,1.944415446,529.696532,131.849035
6,250,63000,715,87,38,0.436782,43.924619581,94.423470717,80.663645252,0.465187514,0.544540474,36.513305276,30.317059448,18.443427375,1.204381491,1.979746201,537.783542,132.524730
6,250,63000,715,87,39,0.448276,36.513305276,94.713881781,81.003402676,0.385511655,0.450762611,36.513305276,30.317059448,18.510637668,1.204381491,1.972557938,545.194856,132.524730
6,250,63000,715,87,40,0.459770,36.513305276,95.139322838,81.003402676,0.383787736,0.450762611,36.513305276,30.317059448,18.523625216,1.204381491,1.971174910,554.182144,132.524730
6,250,63000,715,87,41,0.471264,46.194123702,95.630586088,81.579835073,0.483047585,0.566244387,38.427901120,30.377454976,18.622308352,1.265013845,2.063541232,563.862963,134.439326
6,250,63000,715,87,42,0.482759,53.960346284,95.945417862,81.948665051,0.562406705,0.658465226,34.015030642,30.696305913,18.752565820,1.108114792,1.813886749,571.629185,138.852196
6,250,63000,715,87,43,0.494253,63.933004105,96.462309286,82.553241049,0.662777043,0.774445719,30.030044568,30.953890074,18.799552706,0.970154139,1.597380801,581.601843,142.837182
6,250,63000,715,87,44,0.505747,63.933004105,97.122033591,82.553241049,0.658274974,0.774445719,30.848414615,30.964706364,18.801531755,0.996244377,1.640739436,592.902829,143.655552
6,250,63000,715,87,45,0.517241,63.933004105,97.746153515,82.553241049,0.654071816,0.774445719,34.706029691,31.204074002,18.845452033,1.112227515,1.841613012,603.931026,147.513167
6,250,63000,715,87,46,0.528736,54.190679300,98.230460752,83.126112025,0.551668789,0.651909225,38.749114819,31.464913343,18.953566859,1.231502353,2.044423359,613.673351,151.556253
6,250,63000,715,87,47,0.540230,61.911461541,98.533415134,83.483896523,0.628329602,0.741597651,41.432172779,31.579100235,18.974655816,1.312012453,2.183553324,621.394133,154.239311
6,250,63000,715,87,49,0.563218,61.911461541,99.184277802,83.483896523,0.624206406,0.741597651,36.222302519,32.316725193,19.112152113,1.120853128,1.895249803,637.280746,162.431963
6,250,63000,715,87,50,0.574713,61.911461541,99.553236210,83.483896523,0.621893008,0.741597651,37.742895993,32.352479529,19.118872091,1.166615250,1.974117292,645.843799,163.952557
6,250,63000,715,87,51,0.586207,53.855273025,99.878671464,83.871706505,0.539206942,0.642114907,34.494861007,32.515114377,19.187722711,1.060886965,1.797756906,653.899988,167.200592
6,250,63000,715,87,52,0.597701,53.855273025,100.346676087,83.871706505,0.536692147,0.642114907,36.983201338,32.610190134,19.228017637,1.134099531,1.923401675,663.580194,169.688932
6,250,63000,715,87,53,0.609195,62.291308869,100.700655919,84.294898143,0.618578978,0.738968908,37.317489216,32.611903485,19.228340509,1.144290435,1.940754544,672.016229,170.023220
6,250,63000,715,87,54,0.620690,62.291308869,101.044154590,84.294898143,0.616476125,0.738968908,37.250782067,32.611971710,19.228353366,1.142242560,1.937284039,680.340836,170.089927
6,250,63000,715,87,56,0.643678,53.944466601,101.596695544,84.707140364,0.530966744,0.636834939,40.637919546,32.821022525,19.317072199,1.238167382,2.103730789,695.191338,174.075519
6,250,63000,715,87,57,0.655172,47.291193074,101.814314289,84.968027383,0.464484718,0.556576333,38.352612447,32.900488570,19.451784157,1.165715590,1.971675818,701.844612,176.360826
6,250,63000,715,87,58,0.666667,38.352612447,102.205933379,85.436900113,0.375248395,0.448899859,38.352612447,32.900488570,19.527812379,1.165715590,1.963999433,710.783192,176.360826
6,250,63000,715,87,59,0.678161,45.569696801,102.460427114,85.741181515,0.444754117,0.531479693,37.793529947,32.905238510,19.535814023,1.148556633,1.934576665,718.000277,176.919909
6,250,63000,715,87,61,0.701149,53.755160632,103.080598143,86.131016630,0.521486697,0.624109209,36.000865831,32.936847907,19.552339495,1.093027054,1.841256175,733.961907,178.712573
6,250,63000,715,87,62,0.712644,44.878013232,103.462135390,86.587272573,0.433762681,0.518298035,36.314438870,32.938340548,19.554853816,1.102497523,1.857054991,742.839055,179.026146
6,250,63000,715,87,64,0.735632,44.878013232,104.142797583,86.587272573,0.430927671,0.518298035,35.812354932,32.950114982,19.574680253,1.086865856,1.829524389,759.647265,180.166106
6,250,63000,715,87,65,0.747126,35.812354932,104.536636874,87.060564735,0.342581855,0.411349904,35.812354932,32.950114982,19.610448740,1.086865856,1.826187427,768.712923,180.166106
6,250,63000,715,87,66,0.758621,43.694124396,104.833347456,87.416612963,0.416796043,0.499837764,34.855170201,32.964014924,19.633794906,1.057370295,1.775264047,776.594693,181.123291
6,250,63000,715,87,68,0.781609,52.533078592,105.572021180,87.862343090,0.497604176,0.597902090,36.759882354,33.013814958,19.654702413,1.113469691,1.870284351,794.225337,183.028003
6,250,63000,715,87,70,0.804598,52.624003420,106.166336277,88.575564551,0.495675044,0.594114231,40.495224453,33.234929878,19.747801749,1.218453735,2.050619353,810.089458,186.945195
6,250,63000,715,87,71,0.816092,58.688392904,106.339398993,88.782923219,0.551896978,0.661032446,33.804138656,33.901787462,19.873353724,0.997119656,1.700978060,816.153847,193.636281
6,250,63000,715,87,73,0.839080,65.209919875,106.861597374,89.022119551,0.610227823,0.732513674,30.231314248,35.450058302,20.075776335,0.852786023,1.505860284,830.970126,207.848452
6,250,63000,715,87,74,0.850575,56.465268468,107.218794628,89.450582433,0.526635919,0.631245398,35.127515506,35.786581568,20.142006812,0.981583431,1.743992832,839.714777,212.744653
6,250,63000,715,87,76,0.873563,56.465268468,107.704066827,89.450582433,0.524263105,0.631245398,29.948677978,36.078099539,20.199707896,0.830106862,1.482629260,854.155883,217.923491
6,250,63000,715,87,78,0.896552,56.823503397,108.456803099,90.355513528,0.523927516,0.628888058,33.718457636,36.363017341,20.258153960,0.927273370,1.664438808,872.191845,223.126210
6,250,63000,715,87,80,0.919540,64.525185317,108.968269671,90.683155709,0.592146553,0.711545433,37.715710386,36.472703632,20.270474079,1.034080466,1.860623005,887.096981,227.123463
6,250,63000,715,87,81,0.931034,64.525185317,109.174198151,90.683155709,0.591029624,0.711545433,35.129549795,36.564276786,20.280782370,0.960761511,1.732159497,893.799350,229.709623
6,250,63000,715,87,83,0.954023,64.169335965,109.644493182,91.248803130,0.585249054,0.703234824,33.630201024,36.669809858,20.294052633,0.917108683,1.657145649,908.141319,233.344068
6,250,63000,715,87,85,0.977011,56.895292438,110.150426767,91.538274955,0.516523577,0.621546478,33.162892902,36.747873660,20.307244135,0.902443859,1.633057281,923.050146,236.697298
6,250,63000,715,87,87,1.000000,41.287599047,110.702029979,92.201294493,0.372961535,0.447798475,33.958788545,36.752207107,20.311706117,0.923993175,1.671882625,938.657839,237.493194
6,327,107583,715,150,1,0.006667,-47.306630433,47.306630433,47.306630433,1.000000000,1.000000000,-13.621424165,13.621424165,13.621424165,1.000000000,1.000000000,47.306630,13.621424
6,327,107583,715,150,2,0.013333,-13.621424165,58.074180186,58.074180186,0.234552156,0.234552156,-13.621424165,13.621424165,14.016810595,1.000000000,0.971791983,80.991837,13.621424
6,327,107583,715,150,3,0.020000,16.758062367,65.540244172,65.540244172,0.255691180,0.255691180,-5.322396048,15.950456545,16.289409043,0.333682991,0.326739665,111.371323,21.920452
6,327,107583,715,150,4,0.026667,16.758062367,69.159744432,65.540244172,0.242309489,0.255691180,-10.318544781,16.714621329,17.038378712,0.617336437,0.605606024,133.451782,26.916601
6,327,107583,715,150,5,0.033333,43.834669515,74.271211816,70.913089489,0.590197311,0.618146379,1.013872903,20.194114408,17.955842274,0.050206356,0.056464792,160.528389,38.249019
6,327,107583,715,150,6,0.040000,22.424271209,77.295653566,74.074769095,0.290110377,0.302724821,3.519856328,20.349010041,18.129871061,0.172974328,0.194146793,181.938787,40.755002
6,327,107583,715,150,7,0.046667,41.328686090,79.573833402,76.448991612,0.519375331,0.540604725,0.997041557,20.504799536,18.173700044,0.048624789,0.054861781,200.843202,43.277817
6,327,107583,715,150,8,0.053333,41.328686090,82.089313250,76.448991612,0.503460005,0.540604725,-2.767566659,20.847519734,18.270917931,0.132752802,0.151473871,221.009024,47.042425
6,327,107583,715,150,9,0.060000,41.328686090,84.998677793,76.448991612,0.486227400,0.540604725,9.206134289,24.041393334,19.226773537,0.382928483,0.478818470,243.057151,59.016126
6,327,107583,715,150,10,0.066667,25.267410190,86.502831226,78.117942254,0.292099228,0.323452071,9.091259749,24.041667779,19.227116705,0.378145969,0.472835313,259.118427,59.131001
6,327,107583,715,150,11,0.073333,41.443560630,88.002316181,79.775188781,0.470937157,0.519504388,5.327793017,24.334450301,19.318978681,0.218940348,0.275780263,275.294577,62.894467
6,327,107583,715,150,12,0.080000,41.443560630,89.835932793,79.775188781,0.461324988,0.519504388,5.620219701,24.336207281,19.319531972,0.230940657,0.290908688,293.352461,63.186894
6,327,107583,715,150,13,0.086667,59.355231095,91.604163440,81.761290865,0.647953421,0.725957607,10.963345572,24.915857980,19.401454225,0.440014772,0.565078547,311.264131,68.530020
6,327,107583,715,150,14,0.093333,43.224602587,93.013547054,83.337301732,0.464712980,0.518670532,9.854682883,24.940511459,19.409371687,0.395127538,0.507728073,327.394760,69.638683
6,327,107583,715,150,15,0.100000,26.539642735,94.498189511,84.991139216,0.280848161,0.312263643,11.612525113,25.002382310,19.488810087,0.464456745,0.595856035,344.079720,71.396525
6,327,107583,715,150,16,0.106667,26.539642735,95.669883774,84.991139216,0.277408540,0.312263643,12.584307719,25.021260612,19.513023344,0.502944592,0.644918396,359.006837,72.368307
6,327,107583,715,150,17,0.113333,40.494977751,96.682356388,86.129234994,0.418845581,0.470165302,9.277861613,25.238781041,19.582932020,0.367603396,0.473772855,372.962172,75.674754
6,327,107583,715,150,18,0.120000,40.494977751,97.934187707,86.129234994,0.413491741,0.470165302,11.722116400,25.356861989,19.621030092,0.462285767,0.597426147,388.570730,78.119008
6,327,107583,715,150,19,0.126667,54.881408426,98.985223692,87.322474245,0.554440414,0.628491221,-3.741294359,29.699958286,20.286778588,0.125969684,0.184420328,402.957161,93.582419
