k,n,x,y,K,MK,Ry,S_K,absS_K,E,SM_K,boundary_MK_Ry,identity_resid,sqrt_sumR2_all,sqrt_sumR2_sf,sqrt_Diag,sqrt_sumDelta2,c_all_K,c_sf_K,c_M_K,c_M_all_K,tri_absR,tri_absMDelta,absS_over_sqrtx,absS_over_x34,absE_over_sqrtx
6,238,57120,715,79,-4,-7.328810502,87.241701130,87.241701130,57.926459121,57.926459121,29.315242009,0.000e+00,104.610673359,86.778590925,29.223122246,16.276662659,0.833965582,1.005336687,1.982213216,3.558865864,850.156983,184.345194,0.365031233,0.023612011,0.242372243
6,239,57599,715,80,-4,-7.328810502,79.089355672,79.089355672,49.774113663,49.774113663,29.315242009,0.000e+00,105.527481524,87.512869079,32.599952889,18.627569286,0.749466912,0.903745432,1.526815509,2.672067026,862.905771,204.542973,0.329541843,0.021271927,0.207393941
6,240,58080,715,81,-4,-7.328810502,76.536142881,76.536142881,47.220900872,47.220900872,29.315242009,0.000e+00,105.227468309,87.112782927,29.385633349,17.948783931,0.727339963,0.878586819,1.606938340,2.630869091,868.476381,183.122572,0.317580090,0.020457220,0.195939035
6,241,58563,715,81,-4,-7.328810502,76.017870516,76.017870516,46.702628508,46.702628508,29.315242009,0.000e+00,105.226467151,87.133933033,32.051276710,15.673168548,0.722421579,0.872425562,1.457122252,2.979782191,873.664470,197.315397,0.314126114,0.020192878,0.192987716
6,242,59048,715,82,-3,-7.328810502,86.507024747,86.507024747,64.520593241,64.520593241,21.986431507,0.000e+00,106.725294417,88.007504315,39.382758820,20.568429715,0.810557846,0.982950550,1.638295416,3.136875014,884.824375,225.153085,0.355999001,0.022837443,0.265519093
6,243,59535,715,83,-4,-7.328810502,102.269331390,102.269331390,72.954089381,72.954089381,29.315242009,0.000e+00,106.899727769,88.165383179,40.893286528,21.146572584,0.956684676,1.159971496,1.784011401,3.449924998,898.417323,248.922103,0.419140124,0.026832810,0.298994681
6,244,60024,715,83,-4,-7.328810502,94.787138423,94.787138423,65.471896415,65.471896415,29.315242009,0.000e+00,107.674296275,89.761827427,34.087725351,17.940867967,0.880313517,1.055984945,1.920688334,3.649315994,893.620440,203.190972,0.386889502,0.024717567,0.267234456
6,245,60515,715,84,-4,-7.328810502,81.366103167,81.366103167,52.050861159,52.050861159,29.315242009,0.000e+00,107.354096274,89.486303728,30.303278615,16.310486468,0.757922669,0.909257616,1.717664343,3.191251301,903.280986,197.539779,0.330759250,0.021088527,0.211590615
6,246,61008,715,85,-3,-7.328810502,84.735053888,84.735053888,62.748622381,62.748622381,21.986431507,0.000e+00,108.145186428,88.941247377,33.475457424,17.232492354,0.783530518,0.952708180,1.874466466,3.641296981,913.092605,207.453511,0.343059710,0.021828456,0.254045088
6,247,61503,715,85,-3,-7.328810502,71.432216199,71.432216199,49.445784692,49.445784692,21.986431507,0.000e+00,108.921036465,90.937974641,31.225017049,17.483890588,0.655816530,0.785504807,1.583531071,2.828076763,916.793228,206.885626,0.288035471,0.018290345,0.199379785
6,248,62000,715,86,-2,-7.328810502,70.946205435,70.946205435,56.288584431,56.288584431,14.657621004,0.000e+00,109.466446472,91.508621745,34.631920355,20.725624730,0.648109149,0.775295312,1.625338239,2.715893256,924.389413,214.749013,0.284926818,0.018056576,0.226060395
6,249,62499,715,87,-1,-7.328810502,49.180833684,49.180833684,41.852023182,41.852023182,7.328810502,0.000e+00,110.249231153,90.965272780,34.007885593,17.661759053,0.446087770,0.540655045,1.230656433,2.369640705,938.156673,225.363733,0.196724909,0.012442025,0.167409432
6,250,63000,715,87,-1,-7.328810502,41.287599047,41.287599047,33.958788545,33.958788545,7.328810502,0.000e+00,110.702029979,92.201294493,36.752207107,20.311706117,0.372961535,0.447798475,0.923993175,1.671882625,938.657839,237.493194,0.164493732,0.010382793,0.135295052
6,251,63503,715,88,-1,-7.328810502,50.434533645,50.434533645,43.105723142,43.105723142,7.328810502,0.000e+00,110.364666468,90.968578424,32.585758767,16.802567679,0.456980801,0.554417080,1.322839325,2.565424759,945.435815,204.259852,0.200138614,0.012607597,0.171055804
6,252,64008,715,89,-2,-7.328810502,81.071347808,81.071347808,66.413726803,66.413726803,14.657621004,0.000e+00,111.800307016,92.764708551,35.516901366,21.771478506,0.725144232,0.873946020,1.869918947,3.050492266,956.656670,231.073687,0.320442613,0.020146133,0.262506900
6,253,64515,715,90,-2,-7.328810502,48.645274523,48.645274523,33.987653519,33.987653519,14.657621004,0.000e+00,112.123487011,93.308861537,34.452290509,21.076460019,0.433854457,0.521336063,0.986513611,1.612588333,959.438477,230.677288,0.191518313,0.012016974,0.133810697
6,254,65024,715,90,-2,-7.328810502,18.721285301,18.721285301,4.063664296,4.063664296,14.657621004,0.000e+00,112.929325229,94.440427324,35.553268837,20.608803059,0.165778776,0.198233805,0.114297909,0.197180995,970.290131,228.684307,0.073417370,0.004597592,0.015936061
6,255,65535,715,91,-1,-7.328810502,18.501440514,18.501440514,11.172630012,11.172630012,7.328810502,0.000e+00,113.424910290,95.119562691,31.260192124,18.809497653,0.163116201,0.194507207,0.357407593,0.593988751,976.909415,205.757586,0.072271803,0.004517005,0.043643419
6,256,66048,715,92,-1,-7.328810502,29.016101450,29.016101450,21.687290947,21.687290947,7.328810502,0.000e+00,112.536985599,92.762489264,27.707618954,14.685568693,0.257836135,0.312799944,0.782719402,1.476775697,994.241478,185.368083,0.112903973,0.007042783,0.084386985
6,257,66563,715,92,-1,-7.328810502,20.037111338,20.037111338,12.708300836,12.708300836,7.328810502,0.000e+00,113.609757315,94.310719572,36.904213824,20.559760334,0.176367874,0.212458472,0.344359072,0.618115223,987.673986,248.134748,0.077663806,0.004835156,0.049257350
