k,n,x,K,Kext,Kprime,Kprime_over_K,S,sqrt_sumR2_all,sqrt_sumR2_sf,c_all,c_sf
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
6,250,63000,87,3977,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000
