k,n_samples,Kprime_over_K,mean_Kprime,rms_S,C_rms_all,C_rms_sf
8,134,1.984799360,12373.090,1626.445413,0.466317695,0.586256054
8,134,2.105136716,13123.209,1624.389569,0.461383750,0.580260919
8,134,2.232770063,13918.888,1549.613907,0.437048319,0.549805931
8,134,2.368141754,14762.791,1419.966075,0.397640082,0.500365633
8,134,2.511720961,15657.873,1378.349490,0.382691175,0.481709293
8,134,2.664005300,16607.216,1400.497626,0.385809674,0.485774457
8,134,2.825522560,17614.060,1545.190719,0.421431448,0.530818858
8,134,2.996832527,18682.045,1605.602732,0.434307346,0.547195113
8,134,3.178528929,19814.694,1714.203288,0.459285258,0.578854060
8,134,3.371241490,21016.075,1721.524378,0.457448678,0.576700209
8,134,3.575638113,22290.276,1599.229546,0.421948950,0.532071780
8,134,3.792427198,23641.687,1472.485384,0.385875634,0.486692950
8,134,4.022360092,25075.045,1343.111310,0.349392467,0.440783590
8,134,4.266233698,26595.328,1455.013411,0.375335804,0.473642031
8,134,4.524893235,28207.843,1696.781758,0.433133319,0.546757930
8,134,4.799235165,29918.037,1920.868755,0.484905919,0.612324674
8,134,5.090210304,31731.940,1887.703059,0.473049617,0.597486967
8,134,5.398827115,33655.843,1712.840384,0.426790854,0.539151471
8,134,5.726155204,35696.343,1596.647072,0.394082450,0.497972770
8,134,6.073329024,37860.634,1658.520485,0.405597091,0.512661554
8,134,6.441551813,40156.157,1626.702462,0.394856782,0.499191999
8,134,6.832099759,42590.739,1706.864083,0.410099547,0.518611574
8,134,7.246326424,45173.015,1804.376354,0.430089195,0.544009525
8,134,7.685667438,47911.828,1947.164942,0.459571252,0.581455516
8,134,8.151645469,50816.694,2019.897794,0.472551687,0.598019067
8,134,8.645875506,53897.672,1853.000684,0.430580971,0.545001639
8,134,9.170070454,57165.478,1670.548125,0.385922717,0.488549736
8,134,9.726047070,60631.381,1565.195891,0.358988139,0.454536012
8,134,10.315732260,64307.410,1696.349001,0.385781218,0.488564206
8,134,10.941169758,68206.343,1972.974670,0.443271059,0.561540257
8,134,11.604527206,72341.664,2074.936389,0.463140495,0.586803766
8,134,12.308103672,76727.701,2108.899414,0.466706603,0.591443410
8,134,13.054337615,81379.642,2000.134101,0.438933981,0.556358206
8,134,13.845815335,86313.664,1838.001869,0.400876271,0.508191899
8,134,14.685279938,91546.828,1740.888103,0.376899657,0.477877590
8,134,15.575640845,97097.306,1768.757059,0.379109328,0.480787585
8,134,16.519983872,102984.224,1926.606995,0.409073548,0.518896245
8,134,17.521581927,109228.112,2029.773883,0.427650053,0.542551242
8,134,18.583906353,115850.545,2110.630724,0.440522060,0.558993831
8,134,19.710638958,122874.530,2129.809665,0.440903731,0.559573956
8,134,20.905684776,130324.299,2098.988633,0.430833387,0.546889027
8,134,22.173185602,138225.821,1910.713053,0.389591849,0.494604606
8,134,23.517534346,146606.388,1699.817828,0.344133992,0.436955931
8,134,24.943390258,155495.082,1740.477650,0.349422201,0.443743708
8,134,26.455695074,164922.627,2132.926194,0.423313992,0.537701836
8,134,28.059690146,174921.799,2450.525384,0.480550710,0.610543534
8,134,29.760934608,185527.276,2407.677167,0.468701891,0.595570858
8,134,31.565324639,196775.634,2249.761789,0.434781646,0.552542703
8,134,33.479113903,208706.067,2064.201166,0.396135233,0.503492594
8,134,35.508935217,221359.776,1975.143870,0.375536740,0.477390540
8,134,37.661823544,234780.731,2100.408077,0.395472582,0.502818977
8,134,39.945240374,249015.261,2137.437488,0.398694810,0.506996993
8,134,42.367099583,264113.000,2209.481986,0.408217300,0.519189495
8,134,44.935794859,280126.067,2488.399819,0.454767166,0.578497228
8,134,47.660228798,297109.933,2534.058950,0.459426849,0.584499872
