k,n_samples,Kprime_over_K,mean_Kprime,rms_S,rms_sqrt_sumR2_all,rms_sqrt_sumR2_sf,C_rms_all,C_rms_sf,rms_SM,rms_sqrt_Diag,C_rms_M,C_rms_M_all
7,2400,0.035481339,47.183,197.860257,459.034921,388.586412,0.431035304,0.509179557,148.931389,164.400260,0.905907256,1.428105509
7,2400,0.039810717,52.943,205.971817,468.008696,395.166230,0.440102542,0.521228286,151.526851,166.409757,0.910564702,1.446110753
7,2400,0.044668359,59.401,219.979803,478.885646,402.936013,0.459357687,0.545942274,151.709916,169.062564,0.897359609,1.438628235
7,2400,0.050118723,66.649,216.343899,488.614805,409.967644,0.442769839,0.527709691,166.674694,172.414708,0.966708097,1.567632429
7,2400,0.056234133,74.786,195.894570,495.670011,415.036055,0.395211664,0.471994102,167.288645,174.915146,0.956398854,1.562812204
7,2400,0.063095734,83.907,216.310289,506.245359,422.648752,0.427283500,0.511796825,166.053313,176.419909,0.941239078,1.545423539
7,2400,0.070794578,94.146,236.920579,517.260387,430.693685,0.458029621,0.550090673,182.125933,178.556539,1.019990275,1.687739717
7,2400,0.079432823,105.634,222.382059,526.730751,437.736409,0.422193044,0.508027330,179.555613,181.714269,0.988120601,1.653699075
7,2400,0.089125094,118.522,213.619242,536.074084,444.605122,0.398488284,0.480469593,186.766371,184.281205,1.013485727,1.711503399
7,2400,0.100000000,132.983,234.919272,547.254423,452.796192,0.429268842,0.518819010,183.662894,187.358832,0.980273475,1.674217321
7,2400,0.112201845,149.210,246.499036,558.726035,461.257559,0.441180508,0.534406496,187.773778,190.211337,0.987184995,1.703539235
7,2400,0.125892541,167.414,237.787327,569.324499,468.960433,0.417665721,0.507052004,200.628672,192.099741,1.044398451,1.814059312
7,2400,0.141253754,187.845,212.596215,577.248972,474.787436,0.368292064,0.447771359,202.990724,194.569434,1.043281672,1.827283673
7,2400,0.158489319,210.762,254.350270,590.265077,484.472794,0.430908552,0.525004237,204.808249,196.669402,1.041383392,1.837862363
7,2400,0.177827941,236.489,258.891004,601.859889,493.112640,0.430151616,0.525013927,213.778492,199.339794,1.072432590,1.910661286
7,2400,0.199526231,265.339,236.618066,611.288721,500.112055,0.387080701,0.473130100,219.343318,201.652735,1.087727958,1.954762571
7,2400,0.223872114,297.717,250.895624,623.840235,509.453494,0.402179293,0.492479936,222.928310,204.034995,1.092598402,1.981076729
7,2400,0.251188643,334.045,251.995634,634.767122,517.598384,0.396989108,0.486855526,220.413734,206.397734,1.067907720,1.954522962
7,2400,0.281838293,374.802,284.271059,649.918239,528.910077,0.437395109,0.537465765,228.241182,208.716271,1.093547623,2.019497117
7,2400,0.316227766,420.537,247.407079,658.996576,535.674672,0.375429992,0.461860701,239.241193,210.727651,1.135309923,2.112317824
7,2400,0.354813389,471.853,248.622826,670.078947,543.946611,0.371035126,0.457072113,240.950801,212.545535,1.133643207,2.123285629
7,2400,0.398107171,529.422,293.340303,685.135809,555.215037,0.428149133,0.528336380,246.620981,214.975042,1.147207502,2.168997625
7,2400,0.446683592,594.022,288.149139,697.802001,564.733771,0.412938253,0.510238902,252.741293,217.226210,1.163493542,2.218540262
7,2400,0.501187234,666.502,259.032069,709.409990,573.488617,0.365137330,0.451677787,253.379220,219.584475,1.153903163,2.220141072
7,2400,0.562341325,747.828,267.756911,722.444791,583.322141,0.370626122,0.459020654,254.179093,222.082895,1.144523506,2.223179765
7,2400,0.630957344,839.067,295.922807,737.312245,594.497225,0.401353441,0.497769871,251.374107,224.970082,1.117366829,2.195015988
7,2400,0.707945784,941.458,300.095922,751.664368,605.298528,0.399241915,0.495781681,260.673929,227.513292,1.145752528,2.272778769
7,2400,0.794328235,1056.335,258.704478,762.931863,613.799073,0.339092507,0.421480725,263.414248,230.033866,1.145110727,2.293242894
7,2400,0.891250938,1185.228,262.557641,776.349590,623.946528,0.338195117,0.420801509,267.736512,232.479948,1.151654215,2.327906343
7,2400,1.000000000,1329.846,339.226959,794.760500,637.872326,0.426829164,0.531810122,272.154250,235.915632,1.153608379,2.363236606
8,11822,0.001000000,6.239,583.804630,1118.401152,1023.546524,0.521999311,0.570374298,301.223144,376.061372,0.800994641,0.907821902
8,11822,0.001122018,6.993,557.863490,1144.087509,1042.574408,0.487605612,0.535082663,338.074259,395.618502,0.854546128,0.997277779
8,11822,0.001258925,7.843,528.952852,1165.640756,1057.896030,0.453787198,0.500004572,334.849456,402.717338,0.831475143,0.979925336
8,11822,0.001412538,8.800,593.265190,1197.560731,1079.820721,0.495394659,0.549410822,342.556495,423.024359,0.809779598,0.984007098
8,11822,0.001584893,9.872,631.596588,1225.832579,1100.380298,0.515238866,0.573980276,378.607834,435.227771,0.869907344,1.076548107
8,11822,0.001778279,11.078,600.352948,1251.892390,1118.400117,0.479556353,0.536796213,369.532315,447.469150,0.825827468,1.039117399
8,11822,0.001995262,12.435,576.784918,1276.763835,1134.353302,0.451755369,0.508470260,399.475589,457.987769,0.872240737,1.111058574
8,11822,0.002238721,13.957,606.237439,1304.397150,1153.209229,0.464764461,0.525695965,395.166584,477.738133,0.827161485,1.081151276
8,11822,0.002511886,15.656,692.456343,1338.134409,1177.025662,0.517478916,0.588310319,405.983133,494.030855,0.821776877,1.096510672
8,11822,0.002818383,17.564,648.631208,1361.343849,1194.174939,0.476463906,0.543162636,471.960206,507.896144,0.929245501,1.260085005
8,11822,0.003162278,19.706,614.872129,1385.832539,1212.199002,0.443684292,0.507236953,468.607145,520.234219,0.900761863,1.238448771
8,11822,0.003548134,22.114,697.369602,1418.231109,1234.611970,0.491717885,0.564849215,486.059092,537.142798,0.904897346,1.268844268
8,11822,0.003981072,24.813,717.420570,1445.843819,1253.377350,0.496195066,0.572389927,472.258201,550.038109,0.858591785,1.220238791
8,11822,0.004466836,27.837,689.124175,1473.663953,1272.618315,0.467626404,0.541501067,547.234724,581.077930,0.941757888,1.379685891
8,11822,0.005011872,31.236,658.993066,1501.394409,1292.375753,0.438920687,0.509908256,530.495127,593.878515,0.893272131,1.323658075
8,11822,0.005623413,35.048,706.598869,1528.667728,1311.755433,0.462231822,0.538666623,521.946267,605.473547,0.862046359,1.291292342
8,11822,0.006309573,39.322,778.874617,1565.223539,1338.019564,0.497612384,0.582110037,554.154888,613.115446,0.903834492,1.363606432
8,11822,0.007079458,44.123,719.930250,1587.776113,1354.136156,0.453420507,0.531652779,587.335580,620.889039,0.945959009,1.437252218
8,11822,0.007943282,49.505,663.155708,1610.595886,1370.762700,0.411745562,0.483785930,586.724197,631.462332,0.929151538,1.425535407
8,11822,0.008912509,55.546,801.801873,1648.045490,1397.547332,0.486516834,0.573720728,602.946928,640.868948,0.940827184,1.457524763
8,11822,0.010000000,62.325,802.831463,1675.410597,1417.171182,0.479184902,0.566502814,642.565935,651.551881,0.986208396,1.543310337
8,11822,0.011220185,69.928,763.005139,1705.883665,1438.885209,0.447278530,0.530275198,642.105991,659.269969,0.973965175,1.534774354
8,11822,0.012589254,78.460,714.332469,1729.479456,1455.628794,0.413033220,0.490738073,649.401063,669.957508,0.969316794,1.541341133
8,11822,0.014125375,88.035,816.268032,1767.306331,1482.960149,0.461871277,0.550431535,664.200979,681.083257,0.975212608,1.567283369
8,11822,0.015848932,98.776,896.918242,1800.389098,1507.342298,0.498180223,0.595032889,723.104945,690.411371,1.047353759,1.698475146
8,11822,0.017782794,110.829,769.695371,1823.094955,1523.953701,0.422191597,0.505064800,722.830720,698.142694,1.035362435,1.691887376
8,11822,0.019952623,124.352,794.636831,1854.527983,1546.925900,0.428484681,0.513687715,729.630543,705.594372,1.034065139,1.701633100
8,11822,0.022387211,139.525,890.406054,1888.482830,1571.752126,0.471492798,0.566505392,723.594548,713.951980,1.013505906,1.682520523
8,11822,0.025118864,156.550,892.256356,1917.988495,1593.170627,0.465204228,0.560050720,770.302401,722.264914,1.066509512,1.784860032
8,11822,0.028183829,175.652,820.436727,1947.982848,1614.913004,0.421172459,0.508037724,775.911534,728.666986,1.064836955,1.792847364
8,11822,0.031622777,197.084,808.918257,1977.526931,1636.655148,0.409055494,0.494250886,773.393183,736.946527,1.049456310,1.780922600
8,11822,0.035481339,221.131,919.458853,2013.997959,1663.645772,0.456534154,0.552677060,775.853416,749.443179,1.035239813,1.778579338
8,11822,0.039810717,248.114,964.856291,2052.444837,1691.965156,0.470100961,0.570257778,786.566286,757.996763,1.037690824,1.797649488
8,11822,0.044668359,278.389,825.609323,2074.885658,1708.532402,0.397905937,0.483227196,835.076357,766.369440,1.089652474,1.903405185
8,11822,0.050118723,312.358,953.112672,2115.115868,1738.342199,0.450619603,0.548288290,880.097198,774.484079,1.136365771,2.001716432
8,11822,0.056234133,350.470,1044.004324,2148.619064,1763.180673,0.485895495,0.592114206,881.978496,785.668688,1.122583233,2.000590964
