n,X,H,C_centered,E_centered,identity_err
3180,10118760,702.0,115.0263397548697,-293.4868301224046,3.2105162972584367e-10
3181,10125123,630.0,74.07264743892301,-277.96367628038433,3.0831870390102267e-10
3182,10131488,579.0,165.05132691477775,-206.9743365426002,2.1827872842550278e-11
3183,10137855,583.0,112.88936604376067,-235.05531697814104,4.274625098332763e-11
3184,10144224,549.0,138.94212749708095,-205.02893625141155,9.595169103704393e-11
3185,10150595,590.0,8.053451506697456,-290.9732742464928,3.169589035678655e-10
3186,10156968,629.0,66.20981835211569,-281.3950908240008,1.1732481652870774e-10
3187,10163343,707.0,3.745472490802058,-351.62726375459374,1.0459189070388675e-11
3188,10169720,782.0,-27.133901782683097,-404.56695089129175,9.958966984413564e-11
3189,10176099,805.0,10.760870309939492,-397.1195648450016,5.729816621169448e-11
3190,10182480,793.0,80.5453961796884,-356.22730191016944,2.7284841053187847e-11
3191,10188863,883.0,34.66082084288064,-424.16958957854604,2.7284841053187847e-11
3192,10195248,934.0,-61.65343673706229,-497.8267183684982,6.59383658785373e-11
3193,10201635,856.0,-40.2829384716606,-448.1414692357548,1.509761204943061e-10
3194,10208024,820.0,-30.367464336624835,-425.1837321681596,3.055902197957039e-10
3195,10214415,801.0,37.95163656234217,-381.5241817187259,2.0600054995156825e-10
3196,10220808,796.0,47.55333537739352,-374.22333231123525,1.3596945791505277e-10
3197,10227203,773.0,56.37212617257319,-358.31393691377366,1.20508047984913e-10
3198,10233600,737.0,19.17686128798232,-358.9115693560368,5.5933924159035087e-11
3199,10239999,759.0,3.649507618349162,-377.6752461908577,6.45741238258779e-11
3200,10246400,783.0,-51.382444867442246,-417.1912224336561,1.3005774235352874e-10
3201,10252803,822.0,-44.62445008526265,-433.3122250425399,1.8280843505635858e-10
3202,10259208,846.0,25.725704082811717,-410.13714795857004,4.8203219193965197e-11
3203,10265615,766.0,52.04769487980229,-356.976152559967,2.637534635141492e-10
3204,10272024,796.0,0.33023284625960514,-397.83488357672786,2.8467184165492654e-10
3205,10278435,726.0,9.391939914246905,-358.30403004281993,1.1323209037072957e-10
3206,10284848,806.0,-72.94714093240327,-439.4735704661882,2.6830093702301383e-11
3207,10291263,743.0,-35.09417409740854,-389.0470870487243,4.001776687800884e-11
3208,10297680,708.0,12.013106013066135,-347.9934469933685,1.9690560293383896e-10
3209,10304099,764.0,-12.718649868329521,-388.35932493411633,9.686118573881686e-11
3210,10310520,774.0,47.16056096972898,-363.4197195151171,3.6834535421803594e-11
3211,10316943,795.0,-25.853912885242607,-410.42695644259584,5.093170329928398e-11
3212,10323368,873.0,-58.21739386134141,-465.6086969305811,1.7917045624926686e-10
3213,10329795,841.0,-52.82003647190868,-446.91001823594956,9.549694368615746e-12
3214,10336224,775.0,-35.620776644092984,-405.31038832195713,1.787157088983804e-10
3215,10342655,789.0,-17.461184915868216,-403.2305924578784,1.1141310096718371e-10
3216,10349088,836.0,-44.77808155519597,-440.3890407776653,1.3460521586239338e-10
3217,10355523,900.0,-32.0524584386294,-466.0262292192083,2.128217602148652e-10
3218,10361960,784.0,20.901775307924254,-381.5491123460099,5.5933924159035087e-11
3219,10368399,835.0,22.09823352334206,-406.45088323828645,8.503775461576879e-11
3220,10374840,793.0,9.484767108791857,-391.7576164455304,1.4733814168721437e-10
3221,10381283,756.0,31.197796572450898,-362.40110171374,6.912159733474255e-11
3222,10387728,685.0,-34.499853190616705,-359.749926595347,7.73070496506989e-11
3223,10394175,717.0,-50.24103712015494,-383.6205185599765,2.0190782379359007e-10
3224,10400624,727.0,-59.006100525686634,-393.003050262869,5.1386450650170445e-11
3225,10407075,771.0,-105.98596153281687,-438.49298076639616,2.4556356947869062e-11
3226,10413528,744.0,-93.20575208074297,-418.6028760403906,3.8198777474462986e-11
