j,T,S_T_x999999,resid_x999999,S_T_ces_x999999,resid_ces_x999999,resid_ces_plus_offpred_x999999,S_T_x9998243,resid_x9998243,S_T_ces_x9998243,resid_ces_x9998243,resid_ces_plus_offpred_x9998243,S_T_x99999999,resid_x99999999,S_T_ces_x99999999,resid_ces_x99999999,resid_ces_plus_offpred_x99999999,S_T_x999950883,resid_x999950883,S_T_ces_x999950883,resid_ces_x999950883,resid_ces_plus_offpred_x999950883
1150,1591.2938843,-1.225606429e+02,-1.166487381e+02,-1.221903950e+02,-1.162784903e+02,-0.559683,-5.983474275e+02,-3.914394957e+02,-5.500957189e+02,-3.431877871e+02,40.105617,-1.218938876e+03,-8.557788523e+02,-1.212466017e+03,-8.493059932e+02,-28.452125,4.175665284e+02,-9.403482249e+02,2.427490417e+02,-1.115165712e+03,-329.212046
1175,1619.9525012,-1.232392900e+02,-1.173273853e+02,-1.222005357e+02,-1.162886310e+02,-0.569824,-6.006996935e+02,-3.937917617e+02,-5.509797024e+02,-3.440717706e+02,39.221633,-1.220910024e+03,-8.577500001e+02,-1.212596731e+03,-8.494367070e+02,-28.582839,4.456503787e+02,-9.122643746e+02,2.462398077e+02,-1.111674946e+03,-325.721280
1200,1648.2705982,-1.239482057e+02,-1.180363010e+02,-1.222255111e+02,-1.163136064e+02,-0.594799,-6.054428372e+02,-3.985349054e+02,-5.518752827e+02,-3.449673509e+02,38.326053,-1.236838308e+03,-8.736782837e+02,-1.212896284e+03,-8.497362599e+02,-28.882391,4.548112331e+02,-9.031035202e+02,2.498813225e+02,-1.108033431e+03,-322.079765
1225,1676.3624863,-1.244216824e+02,-1.185097776e+02,-1.222600018e+02,-1.163480971e+02,-0.629290,-6.024971405e+02,-3.955892087e+02,-5.527273930e+02,-3.458194612e+02,37.473943,-1.246945941e+03,-8.837859174e+02,-1.213450767e+03,-8.502907435e+02,-29.436875,4.604791490e+02,-8.974356042e+02,2.532545605e+02,-1.104660193e+03,-318.706527
1250,1704.2914124,-1.253871425e+02,-1.194752377e+02,-1.223092310e+02,-1.163973262e+02,-0.678519,-6.020756225e+02,-3.951676906e+02,-5.535378973e+02,-3.466299655e+02,36.663439,-1.230428204e+03,-8.672681804e+02,-1.213787581e+03,-8.506275568e+02,-29.773688,5.291719166e+02,-8.287428366e+02,2.572392568e+02,-1.100675497e+03,-314.721831
1275,1732.4301698,-1.243357487e+02,-1.184238440e+02,-1.223508943e+02,-1.164389896e+02,-0.720182,-6.068418057e+02,-3.999338739e+02,-5.543612768e+02,-3.474533450e+02,35.840059,-1.218779803e+03,-8.556197791e+02,-1.214024888e+03,-8.508648639e+02,-30.010995,5.390703215e+02,-8.188444318e+02,2.619180229e+02,-1.095996730e+03,-310.043064
1300,1760.2151662,-1.273174139e+02,-1.214055091e+02,-1.224072727e+02,-1.164953680e+02,-0.776561,-6.153612163e+02,-4.084532845e+02,-5.552713578e+02,-3.483634260e+02,34.929978,-1.249511462e+03,-8.863514384e+02,-1.214439211e+03,-8.512791874e+02,-30.425319,4.963903423e+02,-8.615244109e+02,2.658021840e+02,-1.092112569e+03,-306.158903
1325,1788.2151234,-1.284956261e+02,-1.225837214e+02,-1.224942229e+02,-1.165823182e+02,-0.863511,-6.183339894e+02,-4.114260576e+02,-5.562333752e+02,-3.493254434e+02,33.967961,-1.245697962e+03,-8.825379378e+02,-1.214968838e+03,-8.518088140e+02,-30.954946,5.317962771e+02,-8.261184761e+02,2.697264561e+02,-1.088188297e+03,-302.234631
1350,1816.3386112,-1.279492847e+02,-1.220373800e+02,-1.225834424e+02,-1.166715377e+02,-0.952731,-6.166481709e+02,-4.097402391e+02,-5.571760382e+02,-3.502681064e+02,33.025298,-1.236379772e+03,-8.732197478e+02,-1.215358317e+03,-8.521982931e+02,-31.344425,5.375601446e+02,-8.203546087e+02,2.735242004e+02,-1.084390553e+03,-298.436887
1375,1843.7710577,-1.265616993e+02,-1.206497945e+02,-1.226470880e+02,-1.167351833e+02,-1.016376,-6.162585384e+02,-4.093506066e+02,-5.580665229e+02,-3.511585911e+02,32.134813,-1.230266466e+03,-8.671064416e+02,-1.215663320e+03,-8.525032957e+02,-31.649427,5.114206467e+02,-8.464941066e+02,2.774172785e+02,-1.080497475e+03,-294.543809
