j,gamma,absF_K,argF_K,absG_K,argG_K,contrib,S_T,resid_T,S_T_cesaro,resid_cesaro,cum_abs_li,cum_abs_psi
1387,1856.389179153523854467583731,3.262471276600e+00,-0.870507833,3.494091714156e+00,2.322810080,4.773703697e+00,4.792138572e+02,-8.787008961e+02,2.788448848e+02,-1.079069868e+03,4.668696457e+04,7.501460929e+05
1388,1857.498074814880186030131746,8.293208216175e-01,-1.694142383,7.857335020924e-01,-1.121792780,-6.821236410e-01,4.785317335e+02,-8.793830197e+02,2.789645018e+02,-1.078950251e+03,4.668853603e+04,7.501743296e+05
1389,1859.495271568794459978385044,1.275782007844e+00,1.815840245,1.385147489618e+00,0.452420642,-2.491579949e+00,4.760401536e+02,-8.818745997e+02,2.791788476e+02,-1.078735906e+03,4.669130633e+04,7.502177207e+05
1390,1860.541388109336813481346767,3.647285696630e+00,0.878298357,3.979644676911e+00,2.040331493,3.601354023e+00,4.796415076e+02,-8.782732457e+02,2.792895357e+02,-1.078625218e+03,4.669926562e+04,7.503417001e+05
1391,1861.379671547232853462528350,4.734349496723e+00,0.319159818,4.872881268644e+00,0.015028758,-9.744661952e+00,4.698968456e+02,-8.880179076e+02,2.793797654e+02,-1.078534988e+03,4.670901138e+04,7.505025589e+05
1392,1862.121464928944214881546901,3.791323965445e+00,-0.432112507,3.887262418839e+00,2.132783976,4.142804780e+00,4.740396504e+02,-8.838751028e+02,2.794556597e+02,-1.078459094e+03,4.671678591e+04,7.506313252e+05
1393,1863.425464845096486006563125,2.874453574590e+00,0.109416672,3.014964788311e+00,-1.659619946,5.348961645e-01,4.745745466e+02,-8.833402067e+02,2.795918269e+02,-1.078322926e+03,4.672281584e+04,7.507288831e+05
1394,1864.353981335746251375531281,3.253500795137e+00,-0.490618824,3.529425433247e+00,-1.963298543,2.700021360e+00,4.772745679e+02,-8.806401853e+02,2.796889354e+02,-1.078225818e+03,4.672987469e+04,7.508392508e+05
1395,1865.367433794057890105678291,1.536901753444e+00,-0.957503783,1.465575174392e+00,-0.393395225,-2.707248292e+00,4.745673197e+02,-8.833474336e+02,2.797962835e+02,-1.078118470e+03,4.673280584e+04,7.508913584e+05
1396,1866.836547018608191339929457,1.325192766667e+00,0.400360273,1.334047234544e+00,0.199624194,-2.615109234e+00,4.719522104e+02,-8.859625428e+02,2.799495593e+02,-1.077965194e+03,4.673547393e+04,7.509362528e+05
1397,1868.085190998609224366009378,2.080451480937e+00,0.781908872,1.941402087889e+00,1.374085388,-7.588737431e-01,4.711933367e+02,-8.867214166e+02,2.800778955e+02,-1.077836858e+03,4.673935674e+04,7.510066864e+05
1398,1868.706745684408117519670849,1.708298716864e+00,-0.805254511,1.473054913246e+00,-0.182559748,-2.897151961e+00,4.682961847e+02,-8.896185685e+02,2.801414628e+02,-1.077773290e+03,4.674230285e+04,7.510645016e+05
1399,1870.421471768310790151708991,2.112232730121e+00,0.808595043,2.192519158546e+00,-0.617787241,-3.574517279e+00,4.647216674e+02,-8.931930858e+02,2.803139554e+02,-1.077600798e+03,4.674668788e+04,7.511359219e+05
1400,1871.416043098407145326019776,3.202636615236e+00,0.859987021,3.074570489295e+00,1.331037953,-1.460223713e+00,4.632614437e+02,-8.946533095e+02,2.804119596e+02,-1.077502794e+03,4.675283702e+04,7.512441541e+05
1401,1872.441566428192717588508827,8.673756867181e+00,0.383420785,9.120393907399e+00,-3.063697950,1.818547703e+01,4.814469207e+02,-8.764678325e+02,2.805121050e+02,-1.077402648e+03,4.677107781e+04,7.515371208e+05
