run_xmax,x,D,M_x,E_rec,sum_abs_Ed,C_pnt,absE_over_sqrtD,absE_rec_over_sqrtx,ratio_E_to_sqrtD_pred,saving_factor
1e8,122424,348,36,3.359035,594.661164,42.718070,31.877184,0.009600,0.105374,177.033339
1e8,127234,355,53,-11.211907,633.350221,30.576186,33.614739,0.031432,0.333541,56.489073
1e8,132233,362,7,13.838630,598.376343,34.677261,31.449962,0.038056,0.440021,43.239564
1e8,137428,369,-75,79.562784,590.801666,84.125567,30.755906,0.214621,2.586911,7.425603
1e8,142827,376,-78,78.569241,658.536806,79.138481,33.961443,0.207897,2.313484,8.381611
1e8,148439,383,-46,58.539038,684.926871,71.078075,34.998128,0.151940,1.672633,11.700344
1e8,154271,391,-99,121.927330,706.148784,144.854661,35.711479,0.310427,3.414234,5.791555
1e8,160332,398,-53,71.262708,676.173683,89.525416,33.893524,0.177972,2.102546,9.488465
1e8,166632,406,35,15.986028,699.824132,66.972056,34.731689,0.039162,0.460272,43.777236
1e8,173178,414,89,-37.356792,693.339098,14.286416,34.075758,0.089768,1.096286,18.559921
1e8,179982,422,36,2.223758,645.927738,40.447516,31.443270,0.005242,0.070723,290.466728
1e8,187054,431,56,-9.578108,739.213966,36.843784,35.606684,0.022146,0.268997,77.177452
1e8,194403,439,18,26.830648,730.816230,71.661295,34.879956,0.060853,0.769228,27.238114
1e8,202041,447,-4,47.346933,770.915346,90.693865,36.463045,0.105335,1.298491,16.282266
1e8,209979,456,-65,78.319659,819.195161,91.639319,38.362328,0.170916,2.041577,10.459636
1e8,218229,465,-16,49.399029,845.966562,82.798058,39.230760,0.105746,1.259191,17.125166
1e8,226803,474,-57,66.976349,826.720425,76.952698,37.972527,0.140636,1.763811,12.343468
1e8,235714,484,-47,84.030808,856.818408,121.061617,38.946291,0.173080,2.157607,10.196479
1e8,244975,493,-14,57.838591,894.584798,101.677183,40.290073,0.116858,1.435554,15.466919
1e8,254600,503,-32,60.649908,912.915967,89.299816,40.704911,0.120199,1.489990,15.052223
1e8,264603,512,9,44.004074,919.399276,97.008148,40.632091,0.085545,1.082988,20.893504
1e8,274999,522,20,27.939172,1001.148964,75.878343,43.819100,0.053278,0.637603,35.833166
