k,n,X,q,P_q_rho0_kernelQ,P_q_rho_Q6U,sqrt_X_over_q
8,4090,16736280,5,0.0,3.790482878684998e-08,1829.5507645321022
8,4379,19184399,5,680.6,680.6000001296401,1958.7954972380348
8,4687,21977343,5,-668.8,-668.8000001296401,2096.5372880061063
8,5018,25190360,5,0.0,-7.580965757369996e-08,2244.5649912622266
8,5372,28869128,5,-668.8,-668.8,2402.8786070045235
8,5751,33085503,5,-668.8,-668.7999997407198,2572.3725624411404
8,6157,37920963,5,-668.8,-668.8,2753.9412847771464
8,6591,43454463,5,-668.8,-668.8000001516193,2948.0319876147882
8,7056,49801248,5,-668.8,-668.7999994814396,3155.9863117573877
8,7554,57078024,5,680.6,680.5999994814396,3378.6986844049884
8,8087,65415743,5,-668.8,-668.8,3617.063532756924
8,8657,74960963,5,-668.8,-668.7999996967613,3871.9752840120245
8,9268,85914360,5,0.0,1.0371208190917968e-06,4145.222792564955
8,9922,98465928,5,-668.8,-668.7999989628792,4437.700485611889
8,10622,112848128,5,-668.8,-668.8,4750.750003946745
8,11371,129322383,5,-668.8,-668.7999993935227,5085.712988362596
8,12173,148206275,5,0.0,-6.064772605895997e-07,5444.3782932489175
8,13032,169859088,5,-668.8,-668.8000006064773,5828.534772993981
8,13951,194658303,5,-668.8,-668.8000020742417,6239.5240683885495
8,14935,223084095,5,0.0,0.0,6679.582247416376
8,3114,9703224,6,0.0,1.2145543829925979e-11,1271.693359265511
8,3334,11122224,6,0.0,-5.7819609840710955e-09,1361.5079874903415
8,3569,12744899,6,-112.16666666666667,-112.1666666791037,1457.4463397783582
8,3821,14607683,6,-112.16666666666667,-112.16666669154074,1560.3249127452057
8,4090,16736280,6,0.0,-2.3127843936284382e-08,1670.1437063917583
8,4379,19184399,6,-112.16666666666667,-112.16666661691852,1788.1274656280334
8,4687,21977343,6,-55.666666666666664,-55.66666671641482,1913.8679421527495
8,5018,25190360,6,56.5,56.4999999005037,2048.998129167846
8,5372,28869128,6,56.5,56.5000000994963,2193.5180266716143
8,5751,33085503,6,-55.666666666666664,-55.66666676616296,2348.244131260632
8,6157,37920963,6,-55.666666666666664,-55.66666676616296,2513.9929395286695
8,6591,43454463,6,-55.666666666666664,-55.66666646767408,2691.1726997723504
8,7056,49801248,6,0.0,-1.9899259010950723e-07,2881.0081568784217
8,7554,57078024,6,0.0,0.0,3084.315807436067
8,8087,65415743,6,-112.16666666666667,-112.16666646767408,3301.9121480338226
8,8657,74960963,6,-112.16666666666667,-112.16666666666667,3534.6136752597636
8,9268,85914360,6,0.0,3.9798518021901447e-07,3784.053382287306
8,9922,98465928,6,0.0,3.700455029805501e-07,4051.047765702103
8,10622,112848128,6,56.5,56.50000039798518,4336.821570382315
8,11371,129322383,6,-55.666666666666664,-55.666666296621166,4642.599541205336
8,12173,148206275,6,-112.16666666666667,-112.16666666666667,4970.014671339847
8,13032,169859088,6,0.0,0.0,5320.699953953427
8,13951,194658303,6,-55.666666666666664,-55.666667406757675,5695.880133921359
8,14935,223084095,6,-55.666666666666664,-55.66666746263703,6097.596452701671
8,3114,9703224,10,-1266.5,-1266.4999999999925,985.0494403835779
8,3334,11122224,10,-1266.5,-1266.4999999961321,1054.6195522556936
8,3569,12744899,10,-247.9,-247.8999999922642,1128.9330803905075
8,3821,14607683,10,85.6,85.6,1208.6224803469445
8,4090,16736280,10,0.0,-1.5471596270799638e-08,1293.687752125682
8,4379,19184399,10,-247.9,-247.9000000309432,1385.0775790546895
8,4687,21977343,10,85.6,85.60000003094319,1482.4757333595717
8,5018,25190360,10,0.0,3.0943192541599275e-08,1587.1471261354443
8,5372,28869128,10,-1600.0,-1600.0,1699.0917573809838
8,5751,33085503,10,85.6,85.59999993811361,1818.9420826403461
8,6157,37920963,10,85.6,85.6,1947.3305574555131
8,6591,43454463,10,85.6,85.59999981434085,2084.573409597273
8,7056,49801248,10,-1600.0,-1600.0000001237727,2231.6193223755704
8,7554,57078024,10,-1266.5,-1266.4999998762273,2389.100751328834
8,8087,65415743,10,85.6,85.6,2557.6501519949907
8,8657,74960963,10,85.6,85.59999987622723,2737.899979911611
