k,n,X,q,P_q_rho0_kernelQ,P_q_rho_Q6U,sqrt_X_over_q
6,524,275624,6,-26.0,-26.000000000111566,214.32996368527975
6,557,311363,6,48.333333333333336,48.333333333333336,227.8021802646615
6,593,352835,6,48.333333333333336,48.33333333307868,242.499140891949
6,630,398160,6,0.0,2.546585164964199e-10,257.60434778939583
6,670,450240,6,0.0,0.0,273.9342986922229
6,713,509795,6,48.333333333333336,48.333333333110204,291.4889935028994
6,173,30275,10,-37.4,-37.4,55.02272257894914
6,184,34224,10,-104.5,-104.49999999999618,58.50128203723402
6,196,38808,10,44.5,44.500000000005095,62.29606729160357
6,208,43680,10,0.0,0.0,66.09084656743322
6,221,49283,10,-81.9,-81.9,70.20185182742689
6,235,55695,10,-37.4,-37.40000000001019,74.6290828028859
6,250,63000,10,0.0,-2.037268131971359e-11,79.37253933193772
6,266,71288,10,44.5,44.50000000002037,84.43222133759126
6,283,80655,10,-37.4,-37.399999999959256,89.80812880803163
6,301,91203,10,-81.9,-81.9,95.50026177974593
6,320,103040,10,0.0,6.111804395914078e-11,101.50862032359616
6,341,116963,10,-81.9,-81.9,108.14943365547505
6,362,131768,10,44.5,44.49999999991851,114.79024348785047
6,385,148995,10,-37.4,-37.399999999959256,122.06350806035357
6,410,168920,10,0.0,1.2223608791828156e-10,129.96922712703957
6,436,190968,10,44.5,44.49999999991851,138.1911719322186
6,463,215295,10,-37.4,-37.400000000189905,146.7293426687382
6,493,244035,10,-37.4,-37.4,156.21619634340095
6,524,275624,10,-104.5,-104.50000000008149,166.0192759892658
6,557,311363,10,-81.9,-81.9,176.45481007895478
6,593,352835,10,-37.4,-37.400000000379805,187.8390268288249
6,630,398160,10,0.0,1.6298145055770873e-10,199.5394697797907
6,670,450240,10,0.0,-1.6298145055770873e-10,212.1885953579975
6,713,509795,10,-37.4,-37.39999999983702,225.78640348789827
6,173,30275,15,185.2,185.19999999999987,44.92586485904677
6,184,34224,15,93.0,92.99999999999798,47.76609676329017
6,196,38808,15,67.0,66.99999999999595,50.86452594883786
6,208,43680,15,0.0,1.7810937909719844e-11,53.96295025292817
6,221,49283,15,91.2,91.2,57.31957199188889
6,235,55695,15,0.0,-6.760577283178767e-12,60.93439094632849
6,250,63000,15,0.0,-9.807384534118076e-12,64.8074069840786
6,266,71288,15,91.2,91.19999999999018,68.93862004227626
6,283,80655,15,0.0,8.661421209884187e-11,73.32803011127464
6,301,91203,15,67.0,67.0,77.97563722086534
6,320,103040,15,185.2,185.1999999999601,82.88144142890695
6,341,116963,15,91.2,91.2,88.30364280896532
6,362,131768,15,91.2,91.20000000017323,93.72584133169109
6,385,148995,15,0.0,5.69950013111035e-11,99.66443698732262
6,410,168920,15,185.2,185.20000000011382,106.11942957504688
6,436,190968,15,67.0,67.00000000006233,112.83261939705203
6,463,215295,15,0.0,-1.6043486539274455e-10,119.80400661079746
6,493,244035,15,0.0,3.6973991276075445e-10,127.54999019992123
6,524,275624,15,48.2,48.20000000000073,135.55417121333204
6,557,311363,15,91.2,91.2,144.07474911771783
6,593,352835,15,185.2,185.19999999970048,153.36992317052693
6,630,398160,15,0.0,1.7801842962702114e-10,162.9232948353304
6,670,450240,15,0.0,4.806982663770516e-10,173.2512626216617
6,713,509795,15,185.2,185.20000000027866,184.35382646783694
6,173,30275,30,160.66666666666666,160.66666666666663,31.76738369250239
6,184,34224,30,-397.1666666666667,-397.1666666666682,33.77573093213528
6,196,38808,30,-313.8333333333333,-313.83333333333377,35.96665122026236
6,208,43680,30,0.0,6.264144758461043e-12,38.157568056677825
6,221,49283,30,-342.0,-342.0,40.53105805017513
6,235,55695,30,-272.1333333333333,-272.1333333332869,43.087121045621046
6,250,63000,30,0.0,-3.3810465538408605e-11,45.8257569495584
6,266,71288,30,69.86666666666666,69.86666666659472,48.746965717536376
6,283,80655,30,-272.1333333333333,-272.13333333335964,51.85074734273364
6,301,91203,30,41.7,41.7,55.137101846216034
6,320,103040,30,-432.8,-432.80000000000757,58.60602926889576
6,341,116963,30,-342.0,-342.0,62.4401046336941
6,362,131768,30,69.86666666666666,69.86666666664713,66.27417797805316
6,385,148995,30,-272.1333333333333,-272.13333333322015,70.47339923687518
6,410,168920,30,-432.8,-432.799999999841,75.03776826816392
6,436,190968,30,-313.8333333333333,-313.8333333334225,79.78471031469627
6,463,215295,30,-272.1333333333333,-272.13333333349914,84.71422548781285
6,493,244035,30,-272.1333333333333,-272.1333333334714,90.19146301064198
6,524,275624,30,-69.96666666666667,-69.96666666653576,95.85127368306937
6,557,311363,30,-342.0,-342.0000000009643,101.87623209888883
