n,X,dmax,n_d,E,Diag,Off,Diag_int,S_sq,S_sq_abs,n_sq,sum_abs_Bj,sum_abs_terms,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15
28448,809345600,10061,10061,1856.85165769792,6766530.80902728,-3318632.7303317664,434683412788288,935.5572039383142,2626.023645637765,100,3520.1640041864594,132454.95777901943,-213.472,8.49345,390.965,543.361,-163.362,817.054,213.058,-47.6916,54.2731,198.475,50.8132,381.655,-407.131,30.3598,0,0
28449,809402499,10062,10062,1887.6493648195928,6858387.070486889,-3295166.945983077,434745089716714,1276.8536013285884,2436.1452865354877,100,3579.5280268151027,131036.80242691388,-133.972,-18.2089,343.21,569.201,-179.524,844.01,233.97,-70.4234,56.5161,211.683,-10.2451,425.8,-433.566,49.1976,0,0
28450,809459400,10063,10063,1990.3942324855343,7002141.418204305,-3040472.2174926256,434804240961590,1304.3805823291896,2646.1066517377894,100,3746.8101503408907,132659.02055236063,-92.4642,16.9834,376.554,592.984,-259.804,867.91,231.01,-52.873,12.2869,296.81,-18.1471,412.693,-454.919,61.3711,0,0
28451,809516303,10064,10064,2019.2759834599347,7193395.944481618,-3115920.4471035316,434861105081140,1175.0407974994614,2574.7772975046737,100,3592.7327779661355,133255.73268277608,-113.05,68.2272,357.954,606.711,-228.971,787.81,218.981,-88.1973,26.5986,280.93,25.3245,365.502,-356.51,67.9663,0,0
28452,809573208,10064,10064,2192.548299738378,6946630.890545749,-2139362.843860097,434920650358543,1191.587318450498,2582.5460851529624,100,3637.007704511577,132274.22257562162,-72.6272,74.4687,384.186,579.654,-195.254,783.588,265.269,-51.4521,41.714,298.487,51.6472,393.283,-402.896,42.483,0,0
28453,809630115,10065,10065,2191.3425104727685,6840795.6473404765,-2038813.649135381,434977268049295,1163.0968815879824,2552.568368865421,100,3606.796809374704,132610.08108958454,-112.298,56.7616,371.632,607.32,-168.598,766.719,294.301,-65.3131,41.1329,325.179,32.3675,379.415,-361.518,24.2424,0,0
28454,809687024,10066,10066,1946.9977604298492,6988793.188513681,-3197992.909394833,435032610610371,1126.5276744002585,2777.7703294608655,100,3542.7107804765856,132469.1607632782,-185.961,60.9491,386.912,553.26,-187.652,717.555,243.465,-31.5006,15.9723,323.324,73.6239,341.443,-392.743,28.3502,0,0
28455,809743935,10066,10066,2102.3861127314394,7025752.161279751,-2605724.794273738,435092620362108,1248.883878828935,2750.10013263523,100,3544.3680277972508,133260.0480961596,-136.717,44.2912,455.46,510.035,-151.878,697.335,279.31,-40.4304,-21.1404,320.575,124.652,375.675,-370.826,16.0427,0,0
28456,809800848,10067,10067,2093.6396247841403,6963535.138093559,-2580208.2596272836,435148190628939,1466.0871073805647,2883.4876913594926,100,3540.976972387234,132667.31311524523,-195.465,40.5278,449.734,598.858,-166.111,657.406,299.531,-65.5626,-22.6503,343.417,68.5011,335.047,-273.88,24.2865,0,0
28457,809857763,10068,10068,2263.869876701142,7035466.1749364305,-1910359.356301587,435206193681494,1401.8697553619895,2941.566888548965,100,3534.2782173344067,133363.343833907,-192.306,26.816,504.222,604.738,-136.575,636.658,329.69,-40.1418,-27.395,314.971,105.6,371.308,-238.787,5.0701,0,0
28458,809914680,10069,10069,2117.8637482257727,7035744.513451279,-2550397.65740236,435264891062875,1133.7143809225172,2813.1646041036356,100,3328.930915165427,132943.14058211647,-191.139,-8.89824,462.651,597.614,-138.458,614.195,305.722,3.86784,-38.9844,325.737,68.3188,345.291,-195.475,-32.5786,0,0
28459,809971599,10069,10069,2066.3323488168116,7287648.273237704,-3017918.8974709027,435322621282449,1319.785223797111,2970.5536970397243,100,3311.7947212928866,133863.30691534304,-204.066,21.439,404.135,560.436,-120.75,617.263,310.881,-1.19589,-15.7312,374.874,41.8536,289.328,-280.989,68.8538,0,0
28460,810028520,10070,10070,1893.3510550607189,7275845.882349745,-3691067.6646502083,435381028832849,1288.9704528623115,2828.2001433497353,100,3464.7281468322417,133285.62623672487,-200.984,-15.3291,492.61,469.363,-158.102,644.276,274.038,-27.3199,-82.105,408.487,-38.5053,320.685,-263.343,69.5803,0,0
28461,810085443,10071,10071,1689.5026637047185,7215973.123381275,-4361553.872715935,435436612912868,1319.2682202175256,3068.2718189114585,100,3657.462459029247,133692.3594276068,-266.996,-61.9427,551.034,471.234,-120.337,598.343,226.132,24.6808,-95.9996,392.913,-89.9369,320.252,-348.767,88.8944,0,0
28462,810142368,10071,10071,1991.2554365147553,7433904.7033042,-3468806.489854632,435497553692518,1381.9871890113145,3074.6868426074316,100,3708.9977138895665,133620.36391308115,-187,-52.6616,567.559,521.157,-129.519,610.355,262.162,11.2929,-83.1621,455.95,-29.7479,343.912,-376.781,77.7396,0,0
28463,810199295,10072,10072,2073.418400183152,7214589.3144553965,-2915525.452237336,435556406727937,1573.0943592891672,2912.1328304944473,100,3496.9528311675595,132952.73794749603,-166.097,-11.3291,538.19,515.027,-115.406,596.131,256.452,31.1025,-47.3318,434.36,-20.046,338.444,-351.557,75.4791,0,0
