k,n,X,q,P_q,abs_P_q,sqrt_X_over_q,Dpsi_max,Dpsi_rms,ratio_renewal,ratio_rawdisc,log10_rho
9,21196,449312808,25,-10183.2,10183.2,4239.3999952823515,8187.707634460181,4037.0690987873004,2.4020380269217276,1.243718077712161,-69544.54491477323
9,21196,449312808,28,-9804.285714285714,9804.285714285714,4005.856462730536,7579.249856650829,3419.7014621845565,2.4474880229739333,1.293569403267845,-69544.54491477323
9,21196,449312808,30,-4421.666666666667,4421.666666666667,3870.0250128390644,6856.74672049284,4391.828757949961,1.1425421417167834,0.6448636426151748,-69544.54491477323
9,21196,449312808,35,15576.714285714286,15576.714285714286,3582.9469435089322,6486.298391997814,2702.2675988485394,4.347458818482907,2.4014797569182713,-69544.54491477323
9,21196,449312808,49,-1703.142857142857,1703.142857142857,3028.142853773108,9786.584758341312,4202.366077852463,0.5624380814863861,0.17402831520886106,-69544.54491477323
9,21196,449312808,63,-35858.57142857143,35858.57142857143,2670.5709751536906,8260.306668382138,3891.984487552762,13.427305157657447,4.341070237237897,-69544.54491477323
9,21196,449312808,105,-320.23809523809524,320.23809523809524,2068.615382327029,8598.938966905698,2956.228877596476,0.15480794447049537,0.03724158253367996,-69544.54491477323
9,21196,449312808,210,16264.833333333334,16264.833333333334,1462.7319645102448,8601.018408447504,2956.258524011503,11.119489918837703,1.8910357542496132,-69544.54491477323
9,21196,449312808,225,-12816.2,12816.2,1413.1333317607837,8148.43374385545,2747.206810655779,9.069349446333446,1.5728421440088909,-69544.54491477323
9,21196,449312808,441,-40827.333333333336,40827.333333333336,1009.3809512577027,6901.396177746123,2201.5313156492034,40.44789361485563,5.91580779914983,-69544.54491477323
9,22282,496532088,2,0.0,0.0,15756.460389313332,8791.649561882019,8791.649561882019,0.0,0.0,-69544.4625848489
9,22282,496532088,3,0.0,0.0,12865.096035397482,7680.869302153587,5487.657555546245,0.0,0.0,-69544.4625848489
9,22282,496532088,4,24866.0,24866.0,11141.499988780684,14687.64259326458,11191.281868827631,2.2318359309823337,1.6929878189848508,-69544.4625848489
9,22282,496532088,5,3868.8,3868.8,9965.260538490702,12052.122473582625,6180.176267705931,0.38822868554783946,0.32100569907749676,-69544.4625848489
