n,X,dmax,E,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15
15142,229310448,2850,-1952.045086,-549.85,0.704724,-83.7074,-199.533,326.312,-214.464,-213.252,-30.5528,-243.718,-92.2252,-288.32,-363.441,0,0,0,0
15143,229340735,2851,-1942.202962,-539.143,9.03579,-87.3884,-185.543,362.803,-257.419,-246.038,-27.3816,-249.949,-79.7324,-294.236,-347.211,0,0,0,0
15144,229371024,2851,-1980.428402,-530.427,26.3642,-132.364,-192.383,347.912,-258.381,-230.213,1.07592,-297.693,-116.365,-262.929,-335.024,0,0,0,0
15145,229401315,2851,-1968.724332,-522.811,70.7476,-119.11,-207.281,338.024,-248.215,-229.519,5.60732,-299.608,-148.394,-253.421,-354.744,0,0,0,0
15146,229431608,2852,-1861.725858,-477.185,61.0182,-112.919,-169.123,318.326,-221.975,-250.963,-7.58189,-279.084,-134.852,-259.527,-327.86,0,0,0,0
15147,229461903,2852,-1851.887057,-537.658,63.454,-84.6702,-181.024,346.558,-212.133,-270.276,-11.1256,-279.229,-146.785,-253.892,-285.107,0,0,0,0
15148,229492200,2853,-1791.700604,-474.123,74.777,-144.43,-193.874,404.729,-252.964,-238.651,-47.4457,-228.449,-116.478,-247.652,-327.139,0,0,0,0
15149,229522499,2853,-1772.897411,-498.686,104.155,-113.188,-193.721,381.957,-200.801,-257.893,-52.9905,-236.612,-118.79,-265.859,-320.469,0,0,0,0
15150,229552800,2853,-1791.728447,-516.241,99.5303,-146.896,-159.574,360.251,-163.699,-244.546,-51.0365,-272.455,-100.186,-255.764,-341.114,0,0,0,0
15151,229583103,2854,-1721.239752,-457.894,105.961,-178.546,-166.424,421.733,-184.849,-223.583,-77.8672,-253.82,-98.6306,-298.86,-308.459,0,0,0,0
15152,229613408,2854,-1817.856056,-539.538,83.2782,-210.318,-113.104,407.831,-197.496,-210.101,-76.3413,-249.973,-114.168,-305.465,-292.46,0,0,0,0
15153,229643715,2854,-1710.222531,-501.282,66.761,-234.918,-74.9615,347.996,-137.267,-205.347,-73.3068,-238.123,-77.1925,-292.161,-290.42,0,0,0,0
15154,229674024,2855,-1683.744315,-503.016,43.1309,-180.696,-88.703,301.284,-98.0381,-225.86,-58.2133,-258.275,-52.251,-274.831,-288.275,0,0,0,0
15155,229704335,2855,-1694.816702,-477.85,23.5559,-191.13,-60.5036,298.698,-117.134,-244.106,-25.9679,-268.753,-58.582,-284.355,-288.689,0,0,0,0
15156,229734648,2856,-1612.356877,-500.674,35.9781,-197.916,-41.1334,304.983,-121.097,-229.349,-57.8001,-235.816,-10.4513,-252.685,-306.395,0,0,0,0
15157,229764963,2856,-1397.962154,-487.598,79.4555,-150.471,-61.1196,323.386,-141.875,-213.732,-42.4156,-217.968,22.8943,-239.534,-268.984,0,0,0,0
15158,229795280,2856,-1208.043997,-436.512,54.82,-118.033,-14.6921,363.607,-145.779,-227.909,-32.3871,-187.19,37.0176,-230.324,-270.662,0,0,0,0
15159,229825599,2857,-1098.357438,-439.526,66.3497,-89.5942,-36.4423,368.017,-147.808,-222.428,-3.4335,-168.276,22.4556,-186.267,-261.404,0,0,0,0
15160,229855920,2857,-1081.045968,-463.53,51.7665,-28.164,-68.2608,342.354,-110.523,-208.745,-11.0479,-199.494,77.0989,-192.439,-270.062,0,0,0,0
15161,229886243,2858,-1286.276163,-494.634,40.2384,-55.7326,-60.8376,316.567,-141.3,-228.197,-16.8803,-199.348,71.5776,-224.267,-293.462,0,0,0,0
15162,229916568,2858,-1287.608803,-489.729,24.7076,-4.25009,-100.54,338.034,-186.4,-190.38,-44.5682,-164.568,80.5177,-257.372,-293.06,0,0,0,0
15163,229946895,2858,-1126.434806,-441.922,36.2319,3.34708,-95.2996,349.247,-156.049,-186.556,-4.11422,-146.277,31.7159,-216.156,-300.603,0,0,0,0
15164,229977224,2859,-1144.727037,-432.107,43.6434,22.7651,-107.828,336.644,-147.961,-196.141,-6.30499,-145.354,14.7371,-239.498,-287.323,0,0,0,0
15165,230007555,2859,-1026.641922,-401.39,79.22,-36.6451,-70.6549,329.977,-137.806,-189.19,-3.41648,-142.495,53.9425,-254.6,-253.584,0,0,0,0
15166,230037888,2859,-965.509065,-358.665,99.6838,-33.1758,-66.1272,346.248,-165.586,-199.712,-28.0351,-143.648,37.2929,-221.385,-232.4,0,0,0,0
15167,230068223,2860,-1044.724258,-416.039,99.2027,-46.4764,-58.8358,330.836,-140.554,-211.958,-36.651,-92.9461,-6.9654,-249.154,-215.184,0,0,0,0
15168,230098560,2860,-1107.538105,-410.404,85.7188,-88.0155,-10.4941,328.099,-130.15,-256.419,-32.5563,-119.874,-17.7765,-254.568,-201.099,0,0,0,0
15169,230128899,2861,-1027.426117,-437.867,82.29,-92.3801,-4.9716,334.427,-134.382,-234.601,3.96633,-109.885,15.254,-260.675,-188.602,0,0,0,0
15170,230159240,2861,-1056.003218,-477.322,113.748,-115.753,46.3682,348.819,-151.84,-220.056,-30.3612,-126.276,39.3797,-259.596,-223.114,0,0,0,0
15171,230189583,2861,-1126.832314,-433.876,111.372,-119.066,57.7088,305.272,-106.82,-249.441,-61.9856,-168.261,-13.019,-226.703,-222.014,0,0,0,0
15172,230219928,2862,-1049.603625,-425.42,136.883,-125.503,52.2798,277.786,-79.8592,-253.489,-66.8916,-131.405,0.863873,-229.296,-205.552,0,0,0,0
15173,230250275,2862,-1028.073879,-429.064,131.449,-156.767,81.6136,309.045,-66.39,-260.81,-97.581,-88.7814,-5.68145,-215.258,-229.847,0,0,0,0
15174,230280624,2862,-1001.966407,-438.699,134.012,-136.152,91.1224,304.493,-85.2368,-269.861,-96.6949,-82.4805,11.4198,-221.759,-212.13,0,0,0,0
15175,230310975,2863,-1076.976504,-468.433,157.63,-146.365,66.5138,317.004,-95.3448,-249.382,-119.175,-94.4856,13.7425,-231.78,-226.902,0,0,0,0
15176,230341328,2863,-1148.055445,-438.157,147.135,-165.7,82.0153,302.385,-93.8134,-250.572,-154.074,-107.788,-8.95827,-253.362,-207.165,0,0,0,0
15177,230371683,2864,-1187.104169,-488.981,130.806,-117.977,55.4596,302.701,-83.7324,-256.756,-124.7,-99.6386,-3.93943,-283.791,-216.556,0,0,0,0
15178,230402040,2864,-1139.577214,-468.796,133.363,-93.2033,54.0189,308.332,-102.71,-251.076,-148.03,-104.564,-3.4741,-270.916,-192.522,0,0,0,0
15179,230432399,2864,-1138.523133,-472.71,121.976,-126.371,103.52,318.647,-135.243,-225.675,-153.294,-118.801,6.85694,-243.173,-214.256,0,0,0,0
15180,230462760,2865,-1101.121096,-440.615,112.586,-161.663,102.072,316.963,-89.2281,-214.659,-139.34,-120.65,-11.634,-232.36,-222.595,0,0,0,0
15181,230493123,2865,-1292.359454,-457.618,64.2512,-166.837,96.5662,308.523,-77.0873,-237.913,-151.319,-130.951,-26.334,-277.891,-235.748,0,0,0,0
15182,230523488,2865,-1158.033643,-441.613,77.8035,-179.077,146.175,328.958,-97.6183,-205.439,-165.013,-102.037,-1.192,-286.071,-232.909,0,0,0,0
15183,230553855,2866,-1107.278189,-419.707,90.521,-178.086,111.607,324.587,-93.6633,-209.629,-139.92,-71.1057,-1.42318,-312.986,-207.472,0,0,0,0
15184,230584224,2866,-1101.957194,-388.792,91.1256,-158.39,119.329,305.767,-85.2056,-227.889,-159.683,-83.1886,-2.20258,-311.272,-201.555,0,0,0,0
15185,230614595,2867,-1142.943685,-394.976,79.7853,-153.407,94.8135,297.387,-78.1264,-213.941,-158.802,-68.5743,-33.072,-321.951,-192.079,0,0,0,0
15186,230644968,2867,-976.604197,-364.151,105.442,-122.602,68.473,298.881,-58.9194,-147.402,-188.28,-60.7971,-3.66608,-281.563,-222.021,0,0,0,0
15187,230675343,2867,-925.912268,-324.425,80.1543,-123.624,113.955,294.439,-49.7153,-152.665,-183.189,-28.4241,-30.5329,-286.414,-235.472,0,0,0,0
15188,230705720,2868,-843.475361,-310.69,83.7535,-137.713,135.608,304.054,-68.5714,-117.92,-164.598,-26.1797,-38.8181,-247.824,-254.577,0,0,0,0
15189,230736099,2868,-869.069650,-357.053,95.5179,-177.857,133.322,301.353,-47.1121,-132.247,-144.716,-32.261,-12.4434,-248.113,-247.46,0,0,0,0
15190,230766480,2868,-809.909556,-308.408,63.1694,-126.836,140.792,310.031,-97.0378,-115.646,-152.412,-36.5092,23.0671,-219.799,-290.321,0,0,0,0
15191,230796863,2869,-670.701939,-250.862,79.8761,-152.814,135.504,321.644,-62.9619,-109.496,-142.61,-35.6736,36.632,-218.238,-271.702,0,0,0,0
15192,230827248,2869,-661.380235,-282.307,63.58,-119.915,136.266,318.064,-78.5696,-95.8889,-140.086,-0.679965,9.97208,-208.827,-262.989,0,0,0,0
15193,230857635,2870,-682.806112,-242.851,48.3389,-101.843,91.7915,317.486,-81.1146,-82.5623,-128.493,21.2502,-38.4929,-210.856,-275.46,0,0,0,0
15194,230888024,2870,-920.155431,-298.386,46.9851,-97.8922,65.6719,278.158,-68.2358,-118.481,-137.831,-2.05999,-83.5417,-224.024,-280.518,0,0,0,0
15195,230918415,2870,-825.894266,-260.02,38.7964,-95.7117,46.2534,273.577,-44.9062,-124.877,-89.3848,4.62477,-79.7355,-226.464,-268.047,0,0,0,0
15196,230948808,2871,-885.714637,-253.645,42.4949,-111.826,67.0061,285.118,-45.6448,-128.076,-92.2215,-48.9932,-74.8984,-259.101,-265.927,0,0,0,0
15197,230979203,2871,-1014.098969,-276.369,10.2485,-66.6521,37.7018,256.721,-10.1266,-119.677,-89.9871,-50.7768,-133.735,-309.845,-261.601,0,0,0,0
15198,231009600,2871,-1041.069623,-293.084,15.9993,-96.6005,29.3922,266.259,-51.1888,-106.465,-54.8953,-68.4636,-124.956,-312.946,-244.121,0,0,0,0
15199,231039999,2872,-1131.943944,-286.898,-26.1948,-127.432,62.1439,235.991,-16.9202,-105.794,-86.4446,-96.5296,-173.667,-294.373,-215.826,0,0,0,0
15200,231070400,2872,-1166.367197,-310.703,-30.5017,-70.3307,16.9473,241.272,-12.5353,-115.262,-86.9286,-96.6242,-166.909,-293.121,-241.671,0,0,0,0
15201,231100803,2873,-1020.841887,-288.607,-19.6434,-74.2274,33.5732,293.997,-32.277,-97.3938,-89.0508,-81.7032,-189.536,-232.917,-243.057,0,0,0,0
15202,231131208,2873,-758.314556,-234.502,12.102,-60.0736,61.4925,302.47,-22.8205,-100.865,-78.6789,-14.8619,-170.727,-223.775,-228.076,0,0,0,0
15203,231161615,2873,-1046.134883,-276.496,-3.0975,-84.8051,35.2358,304.254,-50.7578,-126.922,-143.518,-40.9685,-176.459,-229.549,-253.052,0,0,0,0
