n,X,dmax,E,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15
14426,208138328,13933,-294.536016,-342.578,163.928,-120.837,374.397,-178.62,310.298,-131.517,-0.644319,-24.0227,-248.973,92.9797,-138.955,273.717,-323.709,0,0
14427,208167183,13935,-161.807190,-317.568,143.717,-104.705,377.035,-194.98,327.122,-65.1613,45.385,1.65131,-255.251,108.114,-158.036,196.65,-265.78,0,0
14428,208196040,13937,-166.606852,-292.549,150.394,-134.756,380.844,-211.342,308.881,-61.7292,16.9058,10.4754,-243.646,112.034,-155.991,249.036,-295.163,0,0
14429,208224899,13939,-186.545362,-266.63,111.125,-85.6894,369.594,-229.582,308.574,-73.2338,48.2009,9.60545,-276.584,123.203,-145.011,221.982,-302.099,0,0
14430,208253760,13941,-351.559226,-317.701,130.854,-117.63,332.4,-225.759,297.336,-40.0805,34.2248,5.42814,-263.343,95.0927,-172.765,223.794,-333.41,0,0
14431,208282623,13943,-423.579691,-378.872,170.638,-123.512,334.088,-206.806,309.84,-62.512,32.8872,-33.0517,-263.936,91.6981,-167.545,205.209,-331.706,0,0
14432,208311488,13945,-454.255722,-355.035,172.309,-156.46,365.006,-231.365,303.05,-88.4989,24.4094,-31.0662,-241.598,84.544,-183.777,216.412,-332.187,0,0
14433,208340355,13947,-651.255533,-437.296,132.146,-68.3503,299.808,-201.546,282.611,-72.2123,-4.78964,-83.4067,-226.925,73.3934,-199.291,197.488,-342.887,0,0
14434,208369224,13948,-664.278649,-439.549,128.87,-54.2455,285.605,-227.79,286.368,-70.4409,-24.5588,-102.424,-253.247,99.4257,-177.576,197.632,-312.349,0,0
14435,208398095,13950,-661.970484,-433.9,146.648,-71.9685,279.403,-192.907,265.193,-70.4279,14.2489,-77.2269,-284.445,66.5195,-139.278,138.678,-302.509,0,0
14436,208426968,13952,-755.653708,-447.243,102.424,-66.9292,299.373,-198.091,278.689,-68.8669,-24.2323,-90.229,-264.893,75.0752,-147.758,116.759,-319.731,0,0
14437,208455843,13954,-759.374446,-462.686,118.256,-86.7166,298.104,-206.343,273.569,-66.5066,-40.6497,-119.727,-258.305,47.6541,-128.267,193.527,-321.285,0,0
14438,208484720,13956,-869.711085,-474.119,105.974,-66.5113,305.072,-226.467,287.393,-64.0158,-67.9831,-141.75,-283.035,40.0113,-115.433,191.192,-360.039,0,0
14439,208513599,13958,-1001.734819,-538.652,119.858,-97.246,294.92,-249.649,287.082,-57.7944,-83.3263,-114.844,-306.904,51.0768,-136.383,158.46,-328.333,0,0
14440,208542480,13960,-835.212893,-532.176,103.629,-90.1062,313.82,-211.843,267.833,-53.3096,-102.025,-48.8798,-281.631,83.0847,-176.846,184.249,-291.012,0,0
14441,208571363,13962,-1018.761977,-555.799,104.455,-128.791,333.783,-225.225,215.778,-37.2206,-105.22,-73.7404,-264.365,63.1926,-201.603,162.954,-306.961,0,0
14442,208600248,13964,-958.791698,-526.413,98.2777,-64.5982,288.68,-215.224,221.405,-3.86824,-86.2037,-59.5297,-248.46,59.46,-191.443,121.601,-352.475,0,0
14443,208629135,13966,-980.828526,-532.127,88.1563,-116.174,356.579,-242.482,224.151,-29.3108,-51.6869,-51.6354,-257.612,27.582,-151.09,137.224,-382.403,0,0
14444,208658024,13968,-783.335460,-468.831,49.9215,-77.9886,402.651,-241.616,233.224,-49.0907,-16.2431,-37.1279,-255.791,59.0064,-178.855,114.104,-316.698,0,0
14445,208686915,13970,-982.631322,-502.635,43.8527,-60.6301,374.422,-225.939,222.039,-67.6736,-36.9409,-26.6098,-293.02,28.5187,-211.465,92.9218,-319.472,0,0
14446,208715808,13972,-1075.029470,-520.43,39.6704,-32.3348,340.489,-263.137,254.919,-48.324,-55.6406,-34.6974,-303.443,9.99929,-217.763,125.484,-369.821,0,0
14447,208744703,13974,-891.506246,-487.325,47.5435,-37.9242,348.44,-203.956,248.282,-47.6253,-52.4823,-53.2588,-316.078,-14.6537,-135.435,142.887,-329.921,0,0
14448,208773600,13976,-779.194458,-488.21,73.4139,-14.5793,339.38,-216.287,265.479,-44.481,-49.678,-65.1332,-289.248,-5.21279,-115.373,154.235,-323.501,0,0
14449,208802499,13977,-593.181718,-433.195,67.3397,-6.23314,387.443,-187.487,282.222,-44.9239,-23.0952,-64.3794,-276.609,27.7207,-156.385,179.023,-344.622,0,0
14450,208831400,13979,-530.437389,-409.171,67.152,-23.7791,384.443,-185.566,303.973,-58.7105,0.563751,-76.7967,-312.607,15.8271,-169.915,228.07,-293.92,0,0
14451,208860303,13981,-774.967825,-461.246,57.1303,-56.3233,396.442,-260.642,281.783,-54.4316,-7.34522,-65.4415,-334.109,-1.74961,-174.095,226.35,-321.291,0,0
14452,208889208,13983,-720.397542,-457.313,62.9953,-58.9918,391.614,-252.784,328.596,-51.9412,-14.2642,-108.838,-299.992,-32.5537,-155.275,237.224,-308.874,0,0
14453,208918115,13985,-814.707586,-457.478,73.9155,-76.4288,364.547,-271.932,343.463,-53.7293,-21.3901,-106.039,-293.848,-49.0205,-141.434,216.997,-342.33,0,0
14454,208947024,13987,-820.371793,-471.635,67.8331,-70.1027,347.716,-261.077,318.273,-59.0419,-3.72697,-127.975,-314.398,-58.4061,-120.81,253.464,-320.484,0,0
14455,208975935,13989,-1077.275466,-460.891,48.806,-83.4301,279.646,-234.97,314.021,-102.897,-20.4323,-113.463,-289.025,-87.4311,-185.49,220.482,-362.201,0,0
14456,209004848,13991,-1200.984427,-464.138,35.6654,-86.0539,264.869,-226.186,282.888,-98.2757,-1.41892,-131.725,-304.812,-83.1085,-217.436,253.369,-424.622,0,0
14457,209033763,13993,-1294.299841,-500.485,35.6909,-51.5038,243.852,-211.337,260.885,-127.064,10.3062,-97.2959,-324.15,-108.006,-210.19,221.149,-436.152,0,0
14458,209062680,13995,-1321.016337,-506.822,32.603,-96.9609,264.012,-203.358,249.565,-135.65,6.82262,-71.7775,-301.826,-146.055,-196.82,221.636,-436.385,0,0
14459,209091599,13997,-1337.375076,-543.259,28.5704,-139.359,252.173,-231.387,289.496,-131.371,31.1944,-76.2711,-321.046,-156.364,-182.65,229.971,-387.071,0,0
14460,209120520,13999,-1311.169211,-528.687,-8.46489,-98.8232,220.205,-251.48,340.233,-103.751,8.84495,-67.4551,-344.725,-140.857,-180.581,258.451,-414.078,0,0
14461,209149443,14001,-1143.801352,-499.215,0.555152,-55.2865,238.359,-240.574,339.099,-89.4026,16.5745,-73.0978,-382.057,-81.2356,-126.027,242.048,-433.543,0,0
14462,209178368,14003,-1332.456903,-533.733,-8.53826,-119.641,258.568,-218.667,266.291,-84.0633,19.4463,-85.0357,-366.206,-66.201,-190.718,240.351,-444.31,0,0
14463,209207295,14005,-1181.714507,-508.351,-26.4656,-75.9375,256.66,-210.571,284.709,-89.7794,10.9674,-99.1367,-359.932,-60.186,-169.384,268.705,-403.013,0,0
14464,209236224,14006,-1262.648923,-539.959,-24.5064,-80.4143,301.924,-221.799,280.894,-100.575,15.5435,-91.1062,-372.72,-24.595,-205.525,234.724,-434.534,0,0
14465,209265155,14008,-1399.613425,-560.668,-44.4918,-103.661,333.067,-239.771,291.76,-114.957,-8.08979,-99.0504,-417.477,-49.0387,-219.341,268.026,-435.921,0,0
14466,209294088,14010,-1444.248680,-541.367,-35.4799,-93.0861,309.388,-249.868,295.3,-114.475,-33.2157,-74.9125,-414.388,-99.7132,-230.889,307.424,-468.966,0,0
14467,209323023,14012,-1380.621880,-486.165,-30.4128,-93.2799,275.47,-269.718,272.357,-72.2704,-44.4148,-76.7145,-435.38,-93.6109,-217.009,370.038,-479.512,0,0
14468,209351960,14014,-1121.796896,-418.955,-65.459,-26.6562,290.724,-266.631,314.222,-70.5855,4.1635,-65.8282,-381.092,-78.4884,-205.803,334.463,-485.87,0,0
14469,209380899,14016,-1214.129344,-450.844,-48.3392,-57.9144,280.038,-244.863,293.211,-60.3789,-16.1089,-87.3932,-403.957,-69.5325,-168.701,344.193,-523.539,0,0
