r,abs_b,re_b,im_b
170,2.234526681982e-02,1.189906391077e-02,-1.891357256830e-02
171,4.243233927444e-03,1.048406298627e-03,4.111675862226e-03
172,6.978299935680e-03,-3.827019672851e-04,6.967798016343e-03
173,6.867644039579e-03,-2.469190649379e-04,6.863203743861e-03
174,1.084635029233e-02,9.249792939524e-03,-5.664330961360e-03
175,1.228344153907e-02,1.060222058155e-02,-6.202890840881e-03
176,6.387836150627e-03,-1.167340435309e-04,6.386769437700e-03
177,1.193483401015e-02,-4.936627603800e-03,1.086600067878e-02
178,9.665546822681e-03,-3.604136714062e-03,8.968444342682e-03
179,5.859783468830e-03,-4.360907563463e-04,5.843533789909e-03
180,4.516726013981e-02,-3.389619756528e-02,2.985178686700e-02
181,5.625205122691e-03,-8.774796157863e-04,5.556344319445e-03
182,9.178808473468e-03,-4.986250074476e-03,7.706350315642e-03
183,1.123440358785e-02,-7.363896626139e-03,8.484388631733e-03
184,5.662689286959e-03,-1.778820302500e-03,5.376043925793e-03
185,1.567176009952e-02,-1.241539006656e-02,9.563584794003e-03
186,1.224483984569e-02,1.223962028054e-02,3.574887895876e-04
187,6.245752414518e-03,-2.781846358370e-03,5.592025935373e-03
188,6.537259064209e-03,-3.097922027324e-03,5.756616643932e-03
189,5.341022375612e-03,-1.159618527397e-04,5.339763371676e-03
190,2.505302695966e-02,2.495705723077e-02,2.190765670143e-03
191,7.559112016730e-03,-3.871789625129e-03,6.492258434491e-03
192,1.283684208417e-02,-1.070785640680e-02,7.079994764485e-03
193,8.260126069237e-03,-4.170992570330e-03,7.129691694452e-03
194,1.128965817100e-02,-8.676961004749e-03,7.222653898674e-03
195,4.621584084092e-02,4.437153595289e-02,1.292558477651e-02
196,9.172303121209e-03,-4.199814083892e-03,8.154305991811e-03
197,9.413655662442e-03,-4.090307673758e-03,8.478578658302e-03
198,1.864898575794e-02,-1.791315297999e-02,5.186869972827e-03
199,9.774135262709e-03,-3.699341810033e-03,9.047021073606e-03
200,1.933832186528e-02,1.223643691789e-02,1.497465539235e-02
201,1.152310844641e-02,-9.251113883958e-03,6.870147027093e-03
202,1.021149300144e-02,-6.754926252200e-03,7.658038955617e-03
203,9.927438032827e-03,-2.357012397625e-03,9.643573946057e-03
204,9.839221388746e-03,-7.646885636329e-03,6.191560191234e-03
205,1.124551749719e-02,-1.072960569296e-02,3.367079662443e-03
206,8.223959171492e-03,-4.645968897457e-03,6.785902847686e-03
207,1.153268211158e-02,1.907276555435e-03,1.137387589294e-02
208,8.988344603670e-03,-2.491371951632e-04,8.984891171979e-03
209,8.659954207129e-03,1.398567076403e-04,8.658824803106e-03
210,1.447204619305e-01,-1.006154624420e-01,-1.040218285696e-01
211,7.883605069456e-03,8.166461641244e-04,7.841193654908e-03
212,7.442948899314e-03,1.090501356346e-03,7.362628274577e-03
213,2.705536500336e-03,-2.375420280911e-03,1.295108583744e-03
214,2.611536919270e-03,-7.930593902380e-04,2.488208569285e-03
