r,abs_b,re_b,im_b
371,5.056526930835e-03,-4.928083628709e-03,1.132455893494e-03
372,3.524868556719e-03,4.215124237320e-05,-3.524616520264e-03
373,5.484951451715e-03,-5.483902884020e-03,1.072454489133e-04
374,3.491532358516e-03,-2.094927521112e-03,-2.793219807293e-03
375,8.512694762427e-02,7.172220166132e-02,-4.585327688048e-02
376,6.770944282167e-03,-6.647453006396e-03,-1.287266483667e-03
377,7.303107536004e-03,-7.107268960975e-03,-1.679912973578e-03
378,9.379584098235e-03,5.837300715296e-03,-7.341833436891e-03
379,8.420937941958e-03,-8.096380938978e-03,-2.315342634095e-03
380,5.980835018614e-03,2.071122926554e-03,-5.610778675281e-03
381,4.992819770295e-03,-2.632836166446e-03,-4.242219110242e-03
382,6.389279771971e-03,-5.257038755363e-03,-3.631313746998e-03
383,1.051622737493e-02,-1.011547449762e-02,-2.875450206344e-03
384,5.210117291251e-03,-3.931838132907e-03,-3.418474964836e-03
385,3.176914582863e-03,1.058077340483e-04,-3.175152120801e-03
386,7.404143884090e-03,-6.933418375369e-03,-2.597894587623e-03
387,1.527045645054e-02,-1.503109940589e-02,-2.693119168951e-03
388,1.218528716857e-02,-1.197281514796e-02,-2.265595024092e-03
389,1.234278137906e-02,-1.217754991284e-02,-2.012841347842e-03
390,1.387078574407e-01,1.354944139080e-01,2.968389320025e-02
391,1.246442656846e-02,-1.238125085697e-02,-1.437552398079e-03
392,1.242827688487e-02,-1.237652003555e-02,-1.133056987421e-03
393,6.233920886673e-03,-6.052209596816e-03,1.494164856202e-03
394,8.161656747630e-03,-8.070801209972e-03,1.214417018673e-03
395,5.007544012400e-03,-1.958531019638e-03,4.608649832786e-03
396,1.468405521511e-02,-1.459433910523e-02,-1.620723184902e-03
397,1.134809166898e-02,-1.134636327487e-02,1.980529282235e-04
398,7.851929426527e-03,-7.304164879636e-03,2.881314132517e-03
399,6.929600657164e-03,-5.246030184033e-03,4.527530516296e-03
400,2.502342986117e-02,-2.287717725032e-02,-1.013936896825e-02
401,9.659757979786e-03,-9.641196577636e-03,5.985422118904e-04
402,2.264777291637e-02,-2.004368674003e-02,-1.054382473010e-02
403,8.689637267542e-03,-8.675858702060e-03,4.891539873461e-04
404,8.205838324467e-03,-8.198055376963e-03,3.573102902827e-04
405,3.725558030844e-02,1.642891121660e-02,3.343754088380e-02
406,6.095372725350e-03,-4.863189981294e-03,3.674636290408e-03
407,6.895869176008e-03,-6.889177930593e-03,-3.037089614154e-04
408,6.325651031403e-03,-3.430543684967e-03,5.314624257332e-03
409,6.258004309165e-03,-6.192117063716e-03,-9.057064661138e-04
410,3.263450625168e-02,-1.673394277454e-02,-2.801760442132e-02
411,5.878711973083e-03,-3.488922364625e-03,4.731455927734e-03
412,5.818039522689e-03,-5.501464113763e-03,-1.893007261621e-03
413,5.808508577191e-03,-5.371981999438e-03,-2.209203768108e-03
414,1.196674951540e-02,-2.584583274834e-03,1.168430670856e-02
415,9.030094642510e-03,-3.709665171064e-03,8.232921326679e-03
416,6.056719305128e-03,-5.262103241708e-03,-2.999019542237e-03
417,6.109996317125e-03,-5.024720444751e-03,3.476239267854e-03
418,5.521346691864e-03,-5.405910933979e-03,1.123118989974e-03
419,6.441106503224e-03,-5.467754331350e-03,-3.404631486354e-03
420,5.205499655641e-02,-4.642960915847e-04,-5.205292590842e-02
