k,n,X,Mplus,Msm,B,E,C,C_minus_2E,R,absR_over_sqrtx,rhoA,rhoB,float_resid
5,90,8280,-141,-61,-75.21677877808828,-4.783221221911717,9.433557556176567,19.0,14.216778778088283,0.15623777201431718,0.8667616782927365,0.9346269953056173,0.0
5,93,8835,-161,-78,-85.43868330014666,2.4386833001466783,9.877366600293328,4.999999999999972,7.438683300146664,0.07913940708883585,0.8503722908937996,0.9267798716692311,1.4210854715202004e-14
5,96,9408,-168,-87,-94.33237808402343,13.332378084023453,20.664756168046864,-6.000000000000043,7.332378084023432,0.07559554393948288,0.8475899539297119,0.9247853241349945,2.1316282072803006e-14
5,99,9999,-185,-104,-102.57736191566039,21.577361915660404,20.15472383132078,-23.00000000000003,-1.42263808433961,0.014227092215791643,0.8240420963600209,0.9137592807668247,1.4210854715202004e-14
5,102,10608,-194,-105,-108.04317148734035,19.043171487340324,22.08634297468069,-15.999999999999957,3.043171487340345,0.0295467468109728,0.8392833741763629,0.9200781022250967,2.1316282072803006e-14
5,105,11235,-203,-100,-115.17378263954599,12.173782639546005,27.34756527909198,2.9999999999999716,15.17378263954599,0.14315526335138995,0.8425677980695677,0.9208926665376073,1.4210854715202004e-14
5,108,11880,-236,-104,-122.07495249691445,-9.925047503085523,8.149904993828898,27.999999999999943,18.07495249691445,0.16583223129569202,0.8711081402972254,0.9358590821400807,2.842170943040401e-14
5,111,12543,-233,-113,-130.0011978312514,10.001197831251403,27.002395662502806,7.0,17.001197831251403,0.15180246012778867,0.8647793417079503,0.932745388618027,0.0
5,114,13224,-263,-136,-140.95620820105378,13.956208201053776,18.912416402107567,-8.999999999999986,4.956208201053784,0.043099092103940743,0.8622240763880791,0.9322737005064942,7.105427357601002e-15
5,117,13923,-277,-140,-151.31363054347133,14.313630543471334,25.627261086942667,-3.0,11.313630543471334,0.0958816680425473,0.8568436882817653,0.9304043393173516,0.0
5,120,14640,-315,-156,-163.38951207011723,4.389512070117284,11.779024140234469,2.9999999999999005,7.3895120701172345,0.0610724333872217,0.8454272621859981,0.9234020263591617,4.973799150320701e-14
5,123,15375,-318,-163,-174.12140973950486,19.121409739504905,30.24281947900971,-8.0000000000001,11.121409739504855,0.0896917048829488,0.8576291257069952,0.9315496025022336,4.973799150320701e-14
5,126,16128,-327,-181,-182.30413134114448,36.30413134114448,37.60826268228897,-35.0,1.3041313411444833,0.010269069064385235,0.8496177727769104,0.9256581341350714,0.0
5,129,16899,-346,-180,-187.29326981079532,21.29326981079538,28.586539621590646,-14.000000000000114,7.293269810795323,0.0561037353660388,0.8451729148797567,0.9215008603425484,5.684341886080802e-14
5,132,17688,-352,-179,-191.2390411177393,18.23904111773929,30.47808223547861,-5.999999999999972,12.239041117739305,0.09202546678970219,0.8548097254987753,0.9301785687398539,1.4210854715202004e-14
5,135,18495,-361,-192,-200.93474002626346,31.934740026263547,40.86948005252691,-23.000000000000185,8.934740026263455,0.06569839388044908,0.8500013392895934,0.9246560391509872,9.237055564881302e-14
5,138,19320,-415,-186,-212.02870675373703,-16.971293246263066,9.057413507474052,43.000000000000185,26.028706753737026,0.1872617292503297,0.8603110086612905,0.9335930417952548,9.237055564881302e-14
5,141,20163,-436,-206,-225.1881223663369,-4.811877633663229,14.376244732673797,24.000000000000256,19.1881223663369,0.1351309731374791,0.8525634676819153,0.9321096302972405,1.2789769243681803e-13
5,144,21024,-464,-214,-238.59318790040885,-11.4068120995912,13.1863758008177,36.0000000000001,24.59318790040885,0.1696122260490239,0.8482723738203726,0.9292852213131801,4.973799150320701e-14
5,147,21903,-463,-233,-248.3375031079822,18.337503107982265,33.6750062159644,-3.000000000000128,15.3375031079822,0.10363414342789007,0.8584149309171816,0.9336114646596816,6.394884621840902e-14
5,150,22800,-483,-252,-258.3733091521422,27.373309152142326,33.746618304284425,-21.000000000000227,6.3733091521422125,0.04220827096795571,0.8564041448449117,0.9313016460868212,1.1368683772161603e-13
5,153,23715,-492,-264,-268.51885573959566,40.518855739595715,45.03771147919133,-36.0000000000001,4.518855739595665,0.02934383774545754,0.8408297703814662,0.9218504509554961,4.973799150320701e-14
5,156,24648,-506,-276,-280.3506277876011,50.350627787601155,54.701255575202254,-46.00000000000006,4.350627787601127,0.02771156714582675,0.8452639584287163,0.9242382499034879,2.842170943040401e-14
5,159,25599,-538,-274,-288.8746345885439,24.874634588544005,39.749269177087854,-10.000000000000156,14.874634588543927,0.09296828198288966,0.8383617388458512,0.9209281825367096,7.815970093361102e-14
5,162,26568,-564,-276,-297.192758709254,9.192758709253923,30.385517418508016,12.00000000000017,21.192758709254008,0.1300193714443842,0.8466850184691327,0.9257592062128955,8.526512829121202e-14
5,165,27555,-589,-290,-306.26837375535865,7.268373755358738,23.536747510717305,8.99999999999983,16.268373755358652,0.09800402982468516,0.8418007083639182,0.9240725456374844,8.526512829121202e-14
