k,n,X,E,telescope_resid,argmax_E0,max_bnd,max_bnd_over_sqrtx,E0_x14,bnd_x14,bnd_x14_over_sqrtx
5,84,7224,8.21691129871364,5.684341886080802e-14,8,8.549954028386622,0.10059465626041598,9,6.436675704707255,0.07573083759574081
5,87,7743,13.36106479251876,2.842170943040401e-14,4,6.140748731409985,0.06978574152393621,9,4.15343400595728,0.04720116139810018
5,90,8280,-4.783221221911717,2.842170943040401e-14,8,7.476290527175735,0.08216199978422624,10,2.7620727134805207,0.030354280222806198
5,93,8835,2.4386833001466783,1.1368683772161603e-13,8,9.268933969982982,0.09861126077454592,10,4.424504542247419,0.04707186097416166
5,96,9408,13.332378084023453,8.526512829121202e-14,8,7.764822184907416,0.08005396747617634,10,4.162591317719361,0.04291559317520843
5,99,9999,21.577361915660404,1.2789769243681803e-13,4,6.45683363777664,0.06457156503673672,10,4.124856379173238,0.04125062637461697
5,102,10608,19.043171487340324,9.947598300641403e-14,8,9.696014772821627,0.0941405026827436,10,5.163484187088628,0.0501332772645378
5,105,11235,12.173782639546005,8.526512829121202e-14,8,9.412452919660382,0.08880067735943643,10,3.4242942522801627,0.03230610040506583
5,108,11880,-9.925047503085523,1.7053025658242404e-13,4,7.488228767740566,0.0687022378188265,10,3.9051413109173154,0.03582849234181683
5,111,12543,10.001197831251403,1.4210854715202004e-13,8,13.773628014463497,0.12298372374899222,11,7.764822184907416,0.06933153309686622
5,114,13224,13.956208201053776,9.947598300641403e-14,8,12.693039259525904,0.11037842760700162,11,6.100644408441326,0.05305108756264505
5,117,13923,14.313630543471334,8.526512829121202e-14,8,12.00918099121543,0.1017763750405524,11,8.599673599739958,0.07288120698269943
5,120,14640,4.389512070117284,1.5631940186722204e-13,4,5.531900689665292,0.04571974890474053,11,9.545061978594504,0.07888750384778342
5,123,15375,19.121409739504905,9.947598300641403e-14,8,9.556344158572642,0.07706979781402692,11,10.653049829165525,0.08591448600143047
5,126,16128,36.30413134114448,1.8474111129762605e-13,4,9.51330901945687,0.07491026729401966,11,8.202856601786266,0.06459142443050847
5,129,16899,21.29326981079538,2.842170943040401e-14,8,10.677776530234041,0.08213917272925125,11,15.914655683532828,0.12242405040177506
5,132,17688,18.23904111773929,2.842170943040401e-14,8,15.956689222675777,0.11997849831606608,12,12.641547515084085,0.09505191622680782
5,135,18495,31.934740026263547,1.8474111129762605e-13,32,16.556365821767088,0.12174127504436758,12,17.774127034886533,0.13069564367699507
5,138,19320,-16.971293246263066,2.1316282072803006e-13,32,16.304624891259607,0.11730249531037035,12,11.351786234447559,0.08166964038801262
5,141,20163,-4.811877633663229,1.2789769243681803e-13,8,15.852284369909626,0.111638573720795,12,11.098303255229553,0.07815900328450562
5,144,21024,-11.4068120995912,1.4210854715202004e-13,8,16.673426646000053,0.11499188396174394,12,7.014545027335316,0.04837732308740971
5,147,21903,18.337503107982265,1.8474111129762605e-13,8,11.619875229431159,0.07851446272987796,12,9.101275736027787,0.061496510114048615
5,150,22800,27.373309152142326,1.7053025658242404e-13,8,17.204686775035725,0.11394082163351929,12,7.626949267435407,0.05051070545205865
5,153,23715,40.518855739595715,1.9895196601282805e-13,8,19.168754223959922,0.12447505433770795,12,10.587967337260011,0.06875448421076653
5,156,24648,50.350627787601155,2.2737367544323206e-13,4,13.716925430991068,0.0873707241052673,13,11.251263385374386,0.07166555173204116
5,159,25599,24.874634588544005,3.836930773104541e-13,8,9.978359418600235,0.06236596446339048,13,17.479845448034325,0.10925116788292565
5,162,26568,9.192758709253923,2.984279490192421e-13,32,18.89390451114781,0.11591570603769334,13,17.971336294523724,0.11025567181158515
5,165,27555,7.268373755358738,2.1316282072803006e-13,8,14.295400202257042,0.0861184313100952,13,25.121741056583858,0.15133853554025284
5,168,28560,17.956254745508296,2.2737367544323206e-13,8,20.14030719714367,0.11917550171876796,13,17.532205102966486,0.10374267477303913
5,171,29583,6.7825455897239735,2.4158453015843406e-13,8,22.35752601381364,0.12998781330556516,13,16.2032282539966,0.09420640762876156
5,172,29928,-8.683873744841904,2.7000623958883807e-13,8,19.736204119952163,0.11408401066636181,13,16.600840795431054,0.09596022045910627
6,173,30275,13.521203748476296,2.8421709430404007e-13,8,10.793575931616033,0.06203307005193337,13,4.913249598913552,0.028237532999539024
6,186,34968,22.507615454093383,3.126388037344441e-13,8,10.199891306147947,0.054545653214883326,14,11.075859077113648,0.0592300398253279
6,199,39999,16.204782732525842,4.263256414560601e-13,8,14.358509658613684,0.07179344571674881,14,12.726185088893544,0.06363172084594959
6,212,45368,24.142420156554948,4.547473508864641e-13,8,11.200261257956527,0.05258396570505131,15,2.7032523091450003,0.012691465265169729
6,225,51075,9.376299949876511,3.126388037344441e-13,8,15.123566627147284,0.06691909149982009,15,6.271840633393936,0.02775177890015659
6,238,57120,57.92645912146523,5.968558980384842e-13,4,13.239978193544175,0.055397883218429256,15,5.79333097031531,0.024240090719766197
6,251,63503,43.10572314248381,6.252776074688882e-13,32,13.640547663995562,0.05412958358883258,16,3.9077727257097195,0.015507156722218043
6,264,70224,-12.6739889278455,4.831690603168681e-13,8,17.959003646829387,0.0677703076067529,16,4.6332131732687,0.017483947781007016
6,277,77283,15.072966480108448,5.684341886080801e-13,8,28.19531556594461,0.10142265460928457,17,6.329409509196012,0.022767807405116438
6,290,84680,21.0626868655892,1.1368683772161603e-13,8,20.550077361951935,0.07061923952305733,17,12.057778111106927,0.04143590827160067
6,303,92415,47.47861282868561,9.379164112033322e-13,8,15.636343371248131,0.051435618320833654,17,13.228690630359779,0.043515665139378476
6,316,100488,35.125815705366165,5.400124791776761e-13,8,22.972291688474797,0.07246815770298745,18,17.216380310142995,0.054310618213854196
6,329,108899,26.746520188086635,5.968558980384842e-13,32,34.02510938162595,0.10310686546820615,18,16.073425824602737,0.0487075746185686
6,342,117648,-16.793984543692176,8.242295734817162e-13,32,20.728222593566443,0.06043239267527847,19,10.379177060707889,0.030260120034296716
6,355,126735,22.172904459154665,1.6200374375330284e-12,8,24.731660472716158,0.06947123046309417,19,19.621374279242104,0.05511643733180167
6,368,136160,26.915649753725944,1.1368683772161603e-12,8,31.110843454443966,0.08431153847677722,19,24.707851715395577,0.06695919362107541
6,381,145923,37.91274018937082,1.0231815394945443e-12,32,25.760356982313624,0.06743572054742088,20,27.240338366818378,0.07131003064061447
6,394,156024,82.2096306542334,8.242295734817162e-13,8,32.65935677187554,0.0826821808431181,20,39.74017093194266,0.1006083500873129
6,407,166463,13.623624451362275,1.1652900866465643e-12,32,24.277232504695803,0.05950319957204173,20,29.40990172616364,0.07208330897961951
6,420,177240,13.264148979664924,2.8421709430404007e-13,32,44.65715937187724,0.10607431199773827,21,24.54031252073969,0.058290692992135094
6,433,188355,8.914676647503114,3.694822225952521e-13,8,41.45595759475509,0.09552089318436202,21,28.453576248428135,0.06556140963158134
6,446,199808,23.237436180999538,2.8421709430404007e-13,32,32.97280456581893,0.0737648480468409,21,21.151033759576194,0.04731786731075085
6,459,211599,65.26553861953201,5.115907697472721e-13,8,35.64047073924303,0.07747946729598872,21,20.399654513477344,0.04434717981954483
6,472,223728,86.98423038063498,5.115907697472721e-13,32,35.79742050656205,0.07568181925702865,22,9.077301013182023,0.019190954121829893
6,485,236195,70.88539288738673,4.831690603168681e-13,8,37.50292369217732,0.07716667300790665,22,7.926433862686281,0.01630956922242026
6,498,249000,55.94054883939097,0.0,8,48.474214472732456,0.097142909439709,22,12.054876690395304,0.02415811802996132
