type,m,b,gcd,H_or_m,abs_S,sqrt_2gm,ratio
complete,225,112,1,225,15.00000000000109,21.213203435596427,1.0000000000000726
complete,225,113,1,225,14.999999999999748,21.213203435596427,0.9999999999999832
complete,225,114,3,225,25.980762113531863,36.742346141747674,1.7320508075687908
complete,225,115,5,225,33.54101966249675,47.43416490252569,2.2360679774997836
complete,225,116,1,225,14.999999999998918,21.213203435596427,0.9999999999999278
complete,225,117,9,225,45.00000000000078,63.63961030678928,3.000000000000052
complete,225,118,1,225,15.00000000000014,21.213203435596427,1.0000000000000093
complete,225,119,1,225,14.99999999999961,21.213203435596427,0.9999999999999739
complete,225,120,15,225,58.09475019311064,82.15838362577492,3.872983346207376
complete,225,121,1,225,15.000000000000366,21.213203435596427,1.0000000000000244
complete,225,122,1,225,15.000000000000426,21.213203435596427,1.0000000000000284
complete,225,123,3,225,25.980762113532545,36.742346141747674,1.7320508075688363
complete,225,124,1,225,14.999999999999892,21.213203435596427,0.9999999999999928
complete,225,125,25,225,75.00000000000136,106.06601717798213,5.000000000000091
complete,225,126,9,225,45.000000000000355,63.63961030678928,3.0000000000000235
complete,225,127,1,225,15.000000000000266,21.213203435596427,1.0000000000000178
complete,225,128,1,225,14.999999999998607,21.213203435596427,0.9999999999999072
complete,225,129,3,225,25.980762113533277,36.742346141747674,1.7320508075688852
complete,225,130,5,225,33.541019662495444,47.43416490252569,2.236067977499696
complete,225,131,1,225,15.000000000001235,21.213203435596427,1.0000000000000824
complete,225,132,3,225,25.980762113532926,36.742346141747674,1.7320508075688617
complete,225,133,1,225,15.000000000000771,21.213203435596427,1.0000000000000513
complete,225,134,1,225,14.999999999998732,21.213203435596427,0.9999999999999154
complete,225,135,45,225,100.6230589874905,142.30249470757707,6.708203932499367
complete,225,136,1,225,14.999999999999247,21.213203435596427,0.9999999999999498
complete,225,137,1,225,14.999999999999336,21.213203435596427,0.9999999999999557
complete,225,138,3,225,25.980762113533984,36.742346141747674,1.7320508075689323
complete,225,139,1,225,14.999999999999726,21.213203435596427,0.9999999999999818
complete,225,140,5,225,33.54101966249691,47.43416490252569,2.236067977499794
complete,225,141,3,225,25.980762113532347,36.742346141747674,1.732050807568823
