k,n,X,q,P_q,abs_P_q,sqrt_X_over_q,Dpsi_q,ratio_renewal,ratio_rawdisc
4,38,1520,2,0.0,0.0,27.568097504180443,10.331685548783298,0.0,0.0
4,40,1680,2,0.0,0.0,28.982753492378876,0.6859805453937042,0.0,0.0
4,42,1848,2,0.0,0.0,30.397368307141328,15.504181677220458,0.0,0.0
4,44,2024,2,0.0,0.0,31.811947441173732,13.661736564128205,0.0,0.0
4,46,2208,2,0.0,0.0,33.2264954516723,17.954032953488422,0.0,0.0
4,47,2303,2,-7.0,7.0,33.933759001914304,8.708189373323876,0.20628424925175867,0.8038410397278869
4,14,224,3,-3.0,3.0,8.640987597877148,10.684320815149391,0.3471825374147068,0.2807852789057283
4,16,288,3,0.0,0.0,9.797958971132712,4.321992267216984,0.0,0.0
4,18,360,3,0.0,0.0,10.954451150103322,6.592544608046268,0.0,0.0
4,20,440,3,-3.0,3.0,12.110601416389967,9.664582396456836,0.24771684715343112,0.3104117567562815
4,22,528,3,0.0,0.0,13.2664991614216,8.765245616729459,0.0,0.0
4,24,624,3,0.0,0.0,14.422205101855956,2.6730579091522486,0.0,0.0
4,26,728,3,-3.0,3.0,15.57776192739723,7.453748412609627,0.19258222162991082,0.40248205787639024
4,28,840,3,0.0,0.0,16.73320053068151,3.5557722567223777,0.0,0.0
4,30,960,3,0.0,0.0,17.88854381999832,12.648003909574697,0.0,0.0
4,32,1088,3,-3.0,3.0,19.043809142780933,10.666315810990568,0.15753150945315111,0.2812592513817002
4,34,1224,3,0.0,0.0,20.199009876724155,7.84428545765752,0.0,0.0
4,36,1368,3,0.0,0.0,21.354156504062622,15.44410015623373,0.0,0.0
4,38,1520,3,-3.0,3.0,22.50925735484551,15.088333305346964,0.1332784974957958,0.19882911778843512
4,40,1680,3,0.0,0.0,23.664319132398465,6.55267861585412,0.0,0.0
4,42,1848,3,0.0,0.0,24.819347291981714,17.985468093751706,0.0,0.0
4,44,2024,3,-3.0,3.0,25.974346318370873,15.189831843217462,0.11549857552635272,0.1975005405566458
4,46,2208,3,0.0,0.0,27.129319932501073,14.700757596570384,0.0,0.0
4,47,2303,3,-3.0,3.0,27.70679820308847,15.87576508346001,0.1082766755656953,0.18896727081994408
4,14,224,4,-4.0,4.0,7.483314773547883,10.629074029773037,0.5345224838248488,0.37632629039892124
4,16,288,4,-4.0,4.0,8.48528137423857,3.853356999144296,0.47140452079103173,1.0380559083646463
4,18,360,4,-4.0,4.0,9.486832980505138,4.025554603608185,0.4216370213557839,0.9936519048616853
4,20,440,4,-4.0,4.0,10.488088481701515,8.04614313818945,0.38138503569823695,0.49713259275922894
4,22,528,4,-4.0,4.0,11.489125293076057,10.50536062407835,0.3481553119113957,0.38075799043318664
4,24,624,4,-4.0,4.0,12.489995996796797,4.425135895366509,0.32025630761017426,0.903927041921659
4,26,728,4,-4.0,4.0,13.490737563232042,9.231557540759923,0.29649972666444047,0.4332963297188882
4,28,840,4,-4.0,4.0,14.491376746189438,4.169036060376527,0.2760262237369417,0.9594544019460315
4,30,960,4,-4.0,4.0,15.491933384829668,7.963857540875665,0.2581988897471611,0.502269155301864
4,32,1088,4,-4.0,4.0,16.492422502470642,4.532217985288867,0.24253562503633297,0.8825700822386757
4,34,1224,4,-4.0,4.0,17.4928556845359,14.308206363014847,0.2286647801900118,0.2795598482797651
4,36,1368,4,-4.0,4.0,18.49324200890693,12.239100058424015,0.21629522817435007,0.32682141504733037
4,38,1520,4,-4.0,4.0,19.493588689617926,9.507533385093552,0.20519567041703082,0.4207190064955676
4,40,1680,4,-4.0,4.0,20.493901531919196,15.666576595003335,0.19518001458970666,0.25532061683953033
4,42,1848,4,-4.0,4.0,21.494185260204677,21.33070603036026,0.18609684207969418,0.18752309437422043
4,44,2024,4,-4.0,4.0,22.494443758403985,14.782168863242418,0.17782168978975482,0.2705962864452499
4,46,2208,4,-4.0,4.0,23.49468024894146,20.046596402950854,0.17025130615174972,0.1995351190594729
4,47,2303,4,-0.5,0.5,23.994791101403653,6.79774371398139,0.020837855928270654,0.07355381741909678
4,14,224,5,-6.0,6.0,6.6932802122726045,4.646418616566812,0.8964214570007952,1.2913171401747985
4,16,288,5,-11.0,11.0,7.58946638440411,4.141521681479233,1.4493772609105073,2.6560285919041995
4,18,360,5,0.0,0.0,8.48528137423857,7.569914026732306,0.0,0.0
4,20,440,5,0.0,0.0,9.38083151964686,4.958561582530734,0.0,0.0
4,22,528,5,-11.0,11.0,10.276186062932103,7.806137630325097,1.070436048222094,1.4091475862874188
4,24,624,5,-6.0,6.0,11.171392035015153,10.423191906331795,0.5370861555295747,0.5756394062317101
4,26,728,5,-11.0,11.0,12.066482503198685,3.928455036215979,0.9116161231812193,2.8000829584638884
4,28,840,5,0.0,0.0,12.96148139681572,5.263624863022358,0.0,0.0
4,30,960,5,0.0,0.0,13.856406460551018,11.453785370254366,0.0,0.0
4,32,1088,5,-11.0,11.0,14.75127113166862,10.870666046932627,0.7456984487516306,1.0118975187453088
4,34,1224,5,-6.0,6.0,15.646085772486357,22.51053241483129,0.3834824944236852,0.26654189645229537
4,36,1368,5,-11.0,11.0,16.540858502508268,15.628319803859938,0.6650198959341773,0.7038504546907967
4,38,1520,5,0.0,0.0,17.435595774162696,9.784916207729054,0.0,0.0
4,40,1680,5,0.0,0.0,18.33030277982336,7.04034120744825,0.0,0.0
4,42,1848,5,-11.0,11.0,19.224983745116667,7.903544057030274,0.5721721352713293,1.3917806898558882
4,44,2024,5,-6.0,6.0,20.11964214393487,9.375585097209978,0.298216039682829,0.639960059856478
4,46,2208,5,-11.0,11.0,21.014280858501916,14.234810967364183,0.5234535539934807,0.7727535002199497
4,47,2303,5,-11.0,11.0,21.461593603458248,19.398265266315434,0.5125434859705618,0.5670610154559131
4,14,224,6,-0.5,0.5,6.110100926607787,13.45690953738918,0.08183170883849714,0.037155633588141564
4,16,288,6,0.0,0.0,6.928203230275509,7.094580989456773,0.0,0.0
4,18,360,6,0.0,0.0,7.745966692414834,9.365133330286056,0.0,0.0
4,20,440,6,-0.5,0.5,8.563488385776752,12.437171118696625,0.058387420812114225,0.04020206807706915
4,22,528,6,0.0,0.0,9.38083151964686,11.537834338969247,0.0,0.0
4,24,624,6,0.0,0.0,10.198039027185569,5.445646631392037,0.0,0.0
4,26,728,6,-0.5,0.5,11.015141094572204,10.226337134849416,0.04539206495016018,0.04889336166085263
4,28,840,6,0.0,0.0,11.832159566199232,6.7848307131967545,0.0,0.0
4,30,960,6,0.0,0.0,12.649110640673518,15.420592631814486,0.0,0.0
4,32,1088,6,-0.5,0.5,13.466006584482772,14.13205171379036,0.037130532861625286,0.03538056682258594
4,34,1224,6,0.0,0.0,14.2828568570857,11.310021360457199,0.0,0.0
4,36,1368,6,0.0,0.0,15.0996688705415,18.90983605903341,0.0,0.0
4,38,1520,6,-0.5,0.5,15.91644851508443,18.554069208146643,0.031414043121877164,0.02694826640942258
4,40,1680,6,0.0,0.0,16.73320053068151,10.018414518653799,0.0,0.0
4,42,1848,6,0.0,0.0,17.549928774784245,21.4512039965515,0.0,0.0
4,44,2024,6,-0.5,0.5,18.366636418607882,18.655567746017255,0.02722327532402354,0.026801650145798654
4,46,2208,6,0.0,0.0,19.183326093250876,18.859640679929953,0.0,0.0
4,47,2303,6,29.833333333333332,29.833333333333332,19.59166489437111,20.03464816681958,1.522756411677129,1.4890869599967254
4,14,224,9,-4.0,4.0,4.988876515698588,4.37961925352441,0.8017837257372732,0.9133214027180744
4,16,288,9,-5.0,5.0,5.656854249492381,5.737830640116478,0.8838834764831843,0.8714094774847694
4,18,360,9,-5.0,5.0,6.324555320336759,7.2318593994177505,0.7905694150420948,0.6913851229467429
4,20,440,9,-4.0,4.0,6.99205898780101,11.81187511602549,0.5720775535473555,0.33864225287762245
4,22,528,9,-11.0,11.0,7.659416862050705,5.641395429524962,1.4361406616345072,1.9498721792183007
4,24,624,9,0.0,0.0,8.32666399786453,8.885477428809452,0.0,0.0
4,26,728,9,-4.0,4.0,8.993825042154693,13.859491481842824,0.44474958999666075,0.2886108776242158
4,28,840,9,0.0,0.0,9.66091783079296,6.382720223290647,0.0,0.0
