n,X,cnt_sf_A,corrA,signagreeA,zA,sum_mu_errA,sum_abs_errA,cnt_sf_B,corrB,signagreeB,zB,sum_mu_errB,sum_abs_errB
1264,1600224,314,-0.019633128642752188,0.4745222929936306,-0.3462339949141163,-48.17048192818493,1938.651486100381,770,-0.0054683928672411225,0.4987012987012987,-0.1514458545561039,-63.80967082328095,10489.20645537542
1265,1602755,315,-0.021216890227981542,0.4666666666666667,-0.3747650016413222,-56.47189801462031,1948.3037802525646,771,-0.005533322819724939,0.4993514915693904,-0.15334394013510205,-49.536997284114705,10510.993721354616
1266,1605288,316,-0.0004227563145209476,0.4936708860759494,-0.007479322707256028,10.265997881277428,1953.4682103023936,772,0.003414510436811572,0.5,0.09468727417800225,21.82320794828749,10527.019280695507
1267,1607823,316,0.004685251120512156,0.509493670886076,0.08289055394607706,27.678427893811204,1959.1205953042477,773,0.008274732734191272,0.49935316946959896,0.22961451479200604,39.32033764735124,10536.371800051118
1268,1610360,316,-0.020393749456195383,0.4620253164556962,-0.3608022592557975,-57.72899216888112,1951.7943906337016,773,-0.007531734918812845,0.49935316946959896,-0.20899716214148423,-61.67794946772818,10538.930788832608
1269,1612899,317,-0.024491029594808224,0.501577287066246,-0.4339821501084169,-78.87478509802531,1969.1363465303427,773,-0.009748155327177063,0.49935316946959896,-0.2705003324540163,-76.53527149088208,10551.44648399645
1270,1615440,318,-0.02564026015339268,0.5,-0.45506947418070326,-80.01094473867494,1947.6040541429238,774,-0.01161229439186141,0.5,-0.3224372633309468,-76.44859414656688,10548.210714705843
1271,1617983,319,-0.019851866452245643,0.49843260188087773,-0.3528944971482887,-66.85768733204384,1965.1496915983523,775,-0.011603433324083,0.4993548387096774,-0.32240009508027684,-91.37914217866617,10559.270128304635
1272,1620528,319,-0.019125811092626132,0.49843260188087773,-0.3399878547602243,-63.591300535005985,1980.6673437633067,775,-0.00789888215310598,0.4993548387096774,-0.219469555782579,-66.35317438313066,10576.502472485747
1273,1623075,319,-0.014036530024170176,0.4890282131661442,-0.24951881559862402,-44.37838584018084,1983.5757848565227,776,-0.00740549434082151,0.49871134020618557,-0.20589405234704855,-76.23911394097556,10581.814198759157
1274,1625624,320,-0.02388283253480963,0.475,-0.42522174414508296,-75.14042700351553,1980.5210319768266,776,-0.010678254581705683,0.49871134020618557,-0.29688620457131104,-98.49363249232331,10572.449273285085
1275,1628175,320,-0.009815636365739833,0.48125,-0.17476243696179586,-22.147803724942037,1987.1215893669432,776,-0.0008544096787652489,0.49871134020618557,-0.023755047675318604,-32.820106845772955,10597.33096799034
1276,1630728,321,-0.011304521505368368,0.4735202492211838,-0.20158849584233923,-21.96747492154401,1972.5883682931028,776,-0.0007419115336447572,0.49871134020618557,-0.02062727552205343,-32.148620559103335,10606.462729604606
1277,1633283,321,0.007962376939495332,0.48598130841121495,0.14198952072410498,45.42258390711771,2006.2364385048677,777,0.007360000768974666,0.49935649935649934,0.2047615177740782,34.163235154106104,10623.486829232712
1278,1635840,321,0.011592074121277692,0.48286604361370716,0.2067162935371963,56.76996166168044,1995.1118982374096,777,0.009067675460127704,0.49935649935649934,0.2522704885745784,43.91868690632657,10625.32647053347
1279,1638399,321,0.014095189047908057,0.4984423676012461,0.2513532268864137,67.86776791676834,1992.5165823711989,778,0.00997360884108989,0.5,0.27765351937113364,65.78624038497563,10635.805983696895
1280,1640960,322,-0.005686449635276607,0.48757763975155277,-0.10156323801453677,-8.758979114749081,1996.3359090145568,778,-0.002790340109062129,0.5,-0.0776797810970568,-18.507696056941796,10639.750781916333
1281,1643523,323,-0.011132844607562243,0.4984520123839009,-0.19915037860360918,-35.55281848123934,2007.3283129215397,779,-0.007208285759764184,0.5006418485237484,-0.20079960574978536,-35.316408076380554,10648.145794774378
1282,1646088,323,-0.020358718608456977,0.4984520123839009,-0.3641878299463978,-67.76046663183803,2015.7743949227192,780,-0.011840108609428955,0.5,-0.33003970905505936,-78.93426383313283,10667.850216989766
1283,1648655,323,-0.02107377654326479,0.48297213622291024,-0.3769791751470449,-71.03031321360032,2021.7746015982614,781,-0.013839856157996457,0.5006402048655569,-0.38603028271470785,-79.24622617656479,10683.047530578393
1284,1651224,323,-0.018946429010060932,0.47987616099071206,-0.33892402557896234,-61.99717310667279,2036.7829771048341,781,-0.010802551099904788,0.5006402048655569,-0.301311791649431,-57.95290390839301,10693.696544115772
1285,1653795,324,-0.025886869924973206,0.4876543209876543,-0.4638014026267135,-80.23986055099567,2024.9649508072057,782,-0.012745864279206619,0.5,-0.3557443559614982,-83.86517535403033,10704.660017909191
1286,1656368,324,-0.007442194262298553,0.4722222222222222,-0.1333378715726722,-13.843374680707427,2018.4540546683193,783,-0.0036881821737169036,0.49936143039591313,-0.10300532239786472,-37.41379828065129,10728.841617742932
1287,1658943,324,-0.005758571056266706,0.4691358024691358,-0.10317328208326669,-9.220140457289915,2022.105957499758,783,0.0003027970432350694,0.49936143039591313,0.008456661192555982,-11.672092787199318,10722.247518330314
1288,1661520,325,-0.012509585765587633,0.48615384615384616,-0.22447649097525305,-40.25210308585508,2021.9309635617406,783,-0.006081701594616182,0.49936143039591313,-0.1698526818835854,-54.7516049513618,10740.015387980971
1289,1664099,326,-0.00021162385995415438,0.4938650306748466,-0.0038033464957734605,10.895631886589058,2010.1457051369985,784,0.0005312065818061061,0.5,0.014845299519537268,3.572032537508335,10745.062833530481
1290,1666680,326,-0.006236194351374954,0.4785276073619632,-0.11207813683392066,-11.517818548364971,2049.2542009361396,785,-0.002863039837335527,0.49936305732484076,-0.08006279872795559,-33.29241518792077,10769.924615414002
1291,1669263,327,0.008057798876534685,0.4984709480122324,0.14504037977762432,34.91332178680062,2041.7153942760385,786,0.0026115217151333435,0.5,0.07307595882726396,17.34623145116825,10790.643553919266
1292,1671848,327,0.005954830970516627,0.4923547400611621,0.10718695746929928,27.342592843145667,2023.2376112780796,786,0.001501292916948969,0.5,0.04200938431830126,9.974257529962074,10776.902844882305
1293,1674435,328,0.000958252822523888,0.4847560975609756,0.01727514843233986,3.568280963048778,2031.6596046924867,787,-0.0007117768129978794,0.4993646759847522,-0.019929750763940622,-18.556854896853707,10798.523186811479
1294,1677024,329,0.007095200699639886,0.5075987841945289,0.12810718398131904,20.383453633080705,2048.0193788799475,788,0.004033876071385586,0.4987309644670051,0.11302054054484216,-0.15043113750556358,10810.10997151847
1295,1679615,329,0.010479333914207842,0.49240121580547114,0.1892093000015119,32.04799533742306,2042.1756164350631,789,0.004524493321377384,0.49936628643852976,0.12684729912275705,16.41047456013999,10827.564469998684
1296,1682208,329,0.003921382223042096,0.49240121580547114,0.07080239942103747,8.212503501060837,2071.3150582517333,789,0.0025450693712614175,0.49936628643852976,0.07135277983486647,3.186562849356733,10844.344139841169
1297,1684803,329,0.0005834048380493742,0.5015197568389058,0.010533648601000974,-3.670446959341973,2077.8985440162865,790,-0.002835051551575654,0.5,-0.07953317619190138,-19.57884119657851,10850.915009560773
1298,1687400,330,-0.004977796985766752,0.49696969696969695,-0.09001420635601526,-18.753384591916983,2055.395698427918,791,-0.005348658752963458,0.5006321112515802,-0.15014400607101921,-22.975660967061913,10866.038472628294
1299,1689999,331,-0.015446846513086854,0.47129909365558914,-0.27975428869139296,-65.39640032044821,2076.3518702101424,792,-0.01192214165028545,0.5,-0.33488275134254475,-83.21848969311327,10877.857505494536
